id,prompt,intent,difficulty,language,domain,practice_area,country,time_span,source_hint,created_at
iovu_20250704_184308_9879,iOVU 코드를 입다 슬로건 의미가 뭐야?,정보,쉬움,KO,iOVU,개발자 밈 굿즈,일본,2019-2023년,개발자 커뮤니티,2025-07-04T18:43:08.423756
iovu_20250704_184308_4761,iOVU M사이즈 XL 사이즈 특징이 뭐야?,정보,쉬움,EN,iOVU,오픈소스 굿즈,한국,2025년,IT 뉴스,2025-07-04T18:43:08.423756
iovu_20250704_184308_2373,iOVU 키링 비닐 커팅 프린팅 방식 설명해줘.,정보,쉬움,KO,iOVU,해커톤 굿즈,중국,2019-2023년,밈 사이트,2025-07-04T18:43:08.423756
iovu_20250704_184308_2437,iOVU 키링 M 사이즈 특징이 뭐야?,정보,쉬움,EN,iOVU,개발자 선물,독일,2025년,깃허브 트렌드,2025-07-04T18:43:08.423756
iovu_20250704_184308_6158,iOVU Code with Love 슬로건 의미가 뭐야?,정보,쉬움,KO,iOVU,개발자 커뮤니티,독일,최근 5개월,밈 사이트,2025-07-04T18:43:08.423756
iovu_20250704_184308_6217,풀스택 개발자 개발자들이 선호하는 iOVU 제품은?,정보,쉬움,KO,iOVU,밈 컬렉션,영국,2025년,깃허브 트렌드,2025-07-04T18:43:08.423756
iovu_20250704_184308_4757,iOVU 테스트 컨셉과 다른 브랜드의 차이점은?,정보,보통,EN,iOVU,IT 굿즈,독일,최근 5개월,개발자 커뮤니티,2025-07-04T18:43:08.423756
iovu_20250704_184308_1004,iOVU 야근 컨셉과 다른 브랜드의 차이점은?,정보,보통,EN,iOVU,개발자 커뮤니티,미국,팬데믹(2020-2022년),개발자 커뮤니티,2025-07-04T18:43:08.423756
iovu_20250704_184308_2247,해커톤 참가 개발자들의 iOVU 블랙 선호 스타일 비교해줘.,정보,보통,KO,iOVU,너디 패션,일본,팬데믹(2020-2022년),깃허브 트렌드,2025-07-04T18:43:08.423756
iovu_20250704_184308_7331,iOVU 코드 리뷰 컨셉과 다른 브랜드의 차이점은?,정보,보통,KO,iOVU,프로그래머 라이프스타일,중국,팬데믹(2020-2022년),깃허브 트렌드,2025-07-04T18:43:08.423756
iovu_20250704_184308_2366,iOVU Code with Love 메시지가 스타트업 직원에게 주는 의미는?,정보,보통,KO,iOVU,해커톤 굿즈,호주,최근 5개월,개발자 커뮤니티,2025-07-04T18:43:08.423756
iovu_20250704_184308_2361,UV 프린팅 프린팅의 iOVU 제품 품질 차이 설명해줘.,정보,보통,KO,iOVU,깃허브 문화,한국,10년 추세(2015-2024년),개발자 커뮤니티,2025-07-04T18:43:08.423756
iovu_20250704_184308_1010,코딩 부트캠프 트렌드가 iOVU 제품 기획에 미치는 영향을 데이터로 검증해줘.,정보,어려움,EN,iOVU,개발자 밈 굿즈,영국,10년 추세(2015-2024년),개발자 커뮤니티,2025-07-04T18:43:08.423756
iovu_20250704_184308_4455,iOVU 개발자를 위한 귀여운 반란 메시지의 스타트업 직원 타겟 가치 전달을 비판적으로 평가해줘.,정보,어려움,KO,iOVU,코딩 유머 아이템,미국,10년 추세(2015-2024년),밈 사이트,2025-07-04T18:43:08.423756
iovu_20250704_184308_8529,iOVU Hello World 전략의 브랜딩 효과를 정량적으로 analyze.,정보,어려움,EN,iOVU,개발자 선물,한국,2025년,깃허브 트렌드,2025-07-04T18:43:08.423756
iovu_20250704_184308_1231,iOVU Code with Love 메시지의 스타트업 직원 타겟 가치 전달을 비판적으로 평가해줘.,정보,어려움,KO,iOVU,오픈소스 굿즈,프랑스,2019-2023년,깃허브 트렌드,2025-07-04T18:43:08.423756
iovu_20250704_184308_7978,재고 관리 기준 iOVU 브랜드 시장 포지셔닝을 전략적으로 분석해줘.,정보,어려움,KO,iOVU,IT 굿즈,미국,10년 추세(2015-2024년),깃허브 트렌드,2025-07-04T18:43:08.423756
iovu_20250704_184308_6713,iOVU 야근 마케팅의 개발자 커뮤니티 브랜딩 장기 효과를 모델링해줘.,정보,어려움,KO,iOVU,개발자 정체성 표현,독일,2019-2023년,밈 사이트,2025-07-04T18:43:08.423756
