id,prompt,intent,difficulty,language,domain,practice_area,country,time_span,source_hint,created_at
iovu_20250704_184247_6728,iOVU XL사이즈 L 사이즈 특징이 뭐야?,정보,쉬움,KO,iOVU,힐링 개발템,한국,최근 3개월,깃허브 트렌드,2025-07-04T18:42:47.167705
iovu_20250704_184247_4461,iOVU Dev + Cute = iOVU 슬로건 의미가 뭐야?,정보,쉬움,KO,iOVU,프로그래머 라이프스타일,독일,10년 추세(2015-2024년),깃허브 트렌드,2025-07-04T18:42:47.167705
iovu_20250704_184247_8967,테크리드 개발자들이 선호하는 iOVU 제품은?,정보,쉬움,EN,iOVU,개발자 밈 굿즈,영국,최근 3개월,개발자 커뮤니티,2025-07-04T18:42:47.167705
iovu_20250704_184247_3004,iOVU 마우스패드 다중색 프린팅 프린팅 방식 설명해줘.,정보,쉬움,KO,iOVU,힐링 개발템,프랑스,최근 5개월,밈 사이트,2025-07-04T18:42:47.167705
iovu_20250704_184247_9562,iOVU 힐링하는 코더 슬로건 의미가 뭐야?,정보,쉬움,KO,iOVU,밈 컬렉션,독일,2025년,개발자 커뮤니티,2025-07-04T18:42:47.167705
iovu_20250704_184247_5086,야근 iOVU 굿즈 종류 뭐가 있어?,정보,쉬움,KO,iOVU,코딩 유머 아이템,프랑스,팬데믹(2020-2022년),개발자 커뮤니티,2025-07-04T18:42:47.167705
iovu_20250704_184247_9570,iOVU t-shirt 자수 제작 시 품질 관리 방법은?,정보,보통,EN,iOVU,개발자 정체성 표현,캐나다,10년 추세(2015-2024년),밈 사이트,2025-07-04T18:42:47.167705
iovu_20250704_184247_7677,iOVU 후드집업 비닐 커팅 제작 시 품질 관리 방법은?,정보,보통,KO,iOVU,개발자 정체성 표현,영국,팬데믹(2020-2022년),IT 뉴스,2025-07-04T18:42:47.167705
iovu_20250704_184247_7911,승화전사 프린팅의 iOVU 제품 품질 차이 explain.,정보,보통,EN,iOVU,너디 패션,일본,최근 3개월,깃허브 트렌드,2025-07-04T18:42:47.167705
iovu_20250704_184247_8961,iOVU 힐링템 컨셉과 다른 브랜드의 차이점은?,정보,보통,KO,iOVU,개발자 정체성 표현,캐나다,2024년,개발자 커뮤니티,2025-07-04T18:42:47.167705
iovu_20250704_184247_9957,해커톤 참가 개발자들의 iOVU 노트북스티커 선호 스타일 비교해줘.,정보,보통,KO,iOVU,오픈소스 굿즈,호주,최근 3개월,IT 뉴스,2025-07-04T18:42:47.167705
