번호,질문,의도,난이도,도메인,언어,어절수,키워드_포함
1,부동산법무 관련 법률사무소 상담 가능한가요?,거래,쉬움,법무,KO,5,법무분야
2,동래구 거주자인데 환경 상담 받고 싶어요,탐색,쉬움,법무,KO,6,"법무분야, 지역"
3,IT통신 사건으로 법률사무소 방문 예약하고 싶어요,거래,쉬움,법무,KO,6,법무분야
4,부산 건설인프라 전문 로펌 평판은 어떤가요?,정보,쉬움,법무,KO,6,"법무분야, 지역"
5,행정법 관련 법률사무소 상담 가능한가요?,거래,쉬움,법무,KO,5,법무분야
6,부산 양산시에서 환경 전문 변호사 찾고 있어요,거래,쉬움,법무,KO,7,"법무분야, 지역"
7,부산 영남권에서 보험법 전문 변호사 찾고 있어요,탐색,쉬움,법무,KO,7,"법무분야, 지역"
8,기업법무 관련 무료상담 있나요?,거래,쉬움,법무,KO,4,법무분야
9,IT통신 관련 무료상담 있나요?,정보,쉬움,법무,KO,4,법무분야
10,증권법 수임료는 어느 정도인가요?,거래,쉬움,법무,KO,4,법무분야
11,부산지방법원 금융법무 소송 도움받을 수 있나요?,탐색,쉬움,법무,KO,6,"법무분야, 지역"
12,개인정보 변호사 경력이 궁금해요,거래,쉬움,법무,KO,4,법무분야
13,건설인프라 초기 대응 도움받고 싶어요,정보,쉬움,법무,KO,5,법무분야
14,의료헬스케어 관련 무료상담 있나요?,탐색,쉬움,법무,KO,4,법무분야
15,가족법 수임료는 어느 정도인가요?,거래,쉬움,법무,KO,4,법무분야
16,부산 개인정보 전문 로펌 평판은 어떤가요?,탐색,쉬움,법무,KO,6,"법무분야, 지역"
17,가족법 관련 법률사무소 상담 가능한가요?,정보,쉬움,법무,KO,5,법무분야
18,부산 금융법무 전문 로펌 평판은 어떤가요?,거래,쉬움,법무,KO,6,"법무분야, 지역"
19,지적재산권 관련 법률사무소 상담 가능한가요?,정보,쉬움,법무,KO,5,법무분야
20,국제법 초기 대응 도움받고 싶어요,거래,쉬움,법무,KO,5,법무분야
21,부산 경남에서 기업법무 전문 변호사 찾고 있어요,탐색,쉬움,법무,KO,7,"법무분야, 지역"
22,부산 상속법 전문 로펌 평판은 어떤가요?,정보,쉬움,법무,KO,6,"법무분야, 지역"
23,금융법무 변호사 경력이 궁금해요,거래,쉬움,법무,KO,4,법무분야
24,노동법무 초기 대응 도움받고 싶어요,탐색,쉬움,법무,KO,5,법무분야
25,부산 행정법 전문 로펌 평판은 어떤가요?,거래,쉬움,법무,KO,6,"법무분야, 지역"
26,증권법 변호사 경력이 궁금해요,탐색,쉬움,법무,KO,4,법무분야
27,소송분쟁해결 관련 법률사무소 상담 가능한가요?,정보,쉬움,법무,KO,5,법무분야
28,부산 헌법 전문 로펌 평판은 어떤가요?,정보,쉬움,법무,KO,6,"법무분야, 지역"
29,부산 부동산법무 전문 로펌 평판은 어떤가요?,탐색,쉬움,법무,KO,6,"법무분야, 지역"
30,행정법 관련 무료상담 있나요?,정보,쉬움,법무,KO,4,법무분야
31,노동법무 관련 기장군 법률사무소들의 시간 단축 차이점은?,탐색,보통,법무,KO,7,"법무분야, 지역"
32,부산 부동산법무 분야에서 전문성 우수한 로펌들 순위는?,탐색,보통,법무,KO,7,"법무분야, 지역"
33,지적재산권 사건 처리 시 센텀시티 법무법인들의 접근 방식 비교,탐색,보통,법무,KO,9,"법무분야, 지역"
34,부산 계약법무 분야에서 비용 효율성 우수한 로펌들 순위는?,정보,보통,법무,KO,8,"법무분야, 지역"
35,수영구 노동법무 전문 로펌들의 서비스 특징과 장단점 비교,탐색,보통,법무,KO,8,"법무분야, 지역"
36,소송분쟁해결 분야 서면 지역 전문 법무법인을 비교해주세요,거래,보통,법무,KO,7,"법무분야, 지역, USP"
37,부산지방법원 상속법 소송에서 경험 많은 변호사를 찾고 있어요,탐색,보통,법무,KO,8,"법무분야, 지역"
38,남포동 기반 IT통신 전문 변호사들의 실적 비교해주세요,정보,보통,법무,KO,7,"법무분야, 지역"
39,노동법무 분야 해운대 지역 전문 법무법인을 비교해주세요,탐색,보통,법무,KO,7,"법무분야, 지역, USP"
40,부산지방법원 기업법무 소송 경험이 풍부한 법무법인 찾아주세요,탐색,보통,법무,KO,7,"법무분야, 지역"
41,부산 기업법무 분야에서 신뢰도 우수한 로펌들 순위는?,탐색,보통,법무,KO,7,"법무분야, 지역"
42,의료헬스케어 관련 동래구 법률사무소 선택 기준과 추천 리스트,탐색,보통,법무,KO,8,"법무분야, 지역"
43,영남권 기반 상속법 전문 변호사들의 실적 비교해주세요,정보,보통,법무,KO,7,"법무분야, 지역"
44,상속법 관련 영남권 법률사무소들의 접근성 차이점은?,탐색,보통,법무,KO,6,"법무분야, 지역"
45,노동법무 관련 기장군 법률사무소 선택 기준과 추천 리스트,거래,보통,법무,KO,8,"법무분야, 지역"
46,부산지방법원 조세법무 소송 경험이 풍부한 법무법인 찾아주세요,탐색,보통,법무,KO,7,"법무분야, 지역"
47,기업법무 관련 수영구 법률사무소 선택 기준과 추천 리스트,탐색,보통,법무,KO,8,"법무분야, 지역"
48,남포동 지역 행정법 전문가 중에서 안정성 좋은 곳 추천해주세요,탐색,보통,법무,KO,9,"법무분야, 지역"
49,부산 환경 분야에서 접근성 우수한 로펌들 순위는?,정보,보통,법무,KO,7,"법무분야, 지역"
50,경남 기반 조세법무 전문 변호사들의 실적 비교해주세요,탐색,보통,법무,KO,7,"법무분야, 지역"
51,증권법 분야 경상남도 지역 전문 법무법인을 비교해주세요,탐색,보통,법무,KO,7,"법무분야, 지역, USP"
52,서면 지역 지적재산권 전문가 중에서 전문성 좋은 곳 추천해주세요,정보,보통,법무,KO,9,"법무분야, 지역"
53,부산지방법원 조세법무 소송에서 경험 많은 변호사를 찾고 있어요,정보,보통,법무,KO,8,"법무분야, 지역"
54,영남권 지역 금융법무 전문가 중에서 안정성 좋은 곳 추천해주세요,거래,보통,법무,KO,9,"법무분야, 지역"
55,증권법 분야 법조단지 지역 전문 법무법인을 비교해주세요,탐색,보통,법무,KO,7,"법무분야, 지역, USP"
56,부산지방법원 계약법무 소송 경험이 풍부한 법무법인 찾아주세요,탐색,보통,법무,KO,7,"법무분야, 지역"
57,해운대 기반 회생법 전문 변호사들의 실적 비교해주세요,탐색,보통,법무,KO,7,"법무분야, 지역"
58,보험법 관련 해운대 법률사무소 선택 기준과 추천 리스트,탐색,보통,법무,KO,8,"법무분야, 지역"
59,국제법 사건 처리 시 해운대 법무법인들의 접근 방식 비교,정보,보통,법무,KO,9,"법무분야, 지역"
60,행정법 사건 처리 시 부산 법무법인들의 접근 방식 비교,탐색,보통,법무,KO,9,"법무분야, 지역"
61,부산지방법원 개인정보 소송 경험이 풍부한 법무법인 찾아주세요,탐색,보통,법무,KO,7,"법무분야, 지역"
62,연제구 조세법무 전문 로펌들의 서비스 특징과 장단점 비교,탐색,보통,법무,KO,8,"법무분야, 지역"
63,노동법무 사건 처리 시 경상남도 법무법인들의 접근 방식 비교,탐색,보통,법무,KO,9,"법무분야, 지역"
64,영남권 국제법 전문 로펌들의 서비스 특징과 장단점 비교,탐색,보통,법무,KO,8,"법무분야, 지역"
65,양산시 기반 노동법무 전문 변호사들의 실적 비교해주세요,정보,보통,법무,KO,7,"법무분야, 지역"
66,서면 행정법 전문 로펌들의 서비스 특징과 장단점 비교,거래,보통,법무,KO,8,"법무분야, 지역"
67,계약법무 관련 남포동 법률사무소 선택 기준과 추천 리스트,거래,보통,법무,KO,8,"법무분야, 지역"
68,법조단지 건설인프라 전문 로펌들의 서비스 특징과 장단점 비교,정보,보통,법무,KO,8,"법무분야, 지역"
69,증권법 관련 부산지방법원 법률사무소 선택 기준과 추천 리스트,탐색,보통,법무,KO,8,"법무분야, 지역"
70,IT통신 관련 남포동 법률사무소들의 만족도 차이점은?,탐색,보통,법무,KO,6,"법무분야, 지역"
71,부산 경남 메가프로젝트 관련 형사법무 통합 자문에서 대표 로펌 활용 극대화 전략,거래,어려움,법무,KO,12,"법무분야, 지역, USP"
72,부산지방법원 헌법 관련 최근 5년간 판례 동향을 노하우 관점에서 평가해주세요,거래,어려움,법무,KO,10,"법무분야, 지역, USP"
73,노동법무 분야 ESG 컴플라이언스 구축 시 동남권 특화 솔루션과 안정성 ROI 분석,거래,어려움,법무,KO,12,"법무분야, 지역"
74,부산지방법원 복합 가족법 사건에서 다학제적 접근법과 편의성 효율성 평가,정보,어려움,법무,KO,9,"법무분야, 지역"
75,의료헬스케어 전문성을 부산 지역 시간 단축와 연계하여 종합적으로 분석해주세요,정보,어려움,법무,KO,9,"법무분야, 지역"
76,부산지방법원 환경 관련 최근 5년간 판례 동향을 합리적 수임료 관점에서 평가해주세요,거래,어려움,법무,KO,11,"법무분야, 지역, USP"
77,건설인프라 분야 ESG 컴플라이언스 구축 시 경상남도 특화 솔루션과 차별화 ROI 분석,거래,어려움,법무,KO,12,"법무분야, 지역"
78,30년 업력 기반 개인정보 크로스보더 거래에서 경남 허브 역할과 글로컬 혁신성 최적화,탐색,어려움,법무,KO,12,"법무분야, 지역, USP"
79,금융법무 전문성을 동래구 지역 편의성와 연계하여 종합적으로 분석해주세요,거래,어려움,법무,KO,8,"법무분야, 지역"
80,부산 부산 메가프로젝트 관련 헌법 통합 자문에서 실무진 활용 극대화 전략,탐색,어려움,법무,KO,11,"법무분야, 지역, USP"
81,부산지방법원 복합 부동산법무 사건에서 다학제적 접근법과 전문성 효율성 평가,정보,어려움,법무,KO,9,"법무분야, 지역"
82,부산지방법원 기반 글로벌 IT통신 프로젝트에서 경쟁력과 안정성 최적화 전략은?,탐색,어려움,법무,KO,9,"법무분야, 지역"
83,부산 양산시 메가프로젝트 관련 상속법 통합 자문에서 합리적 수임료 활용 극대화 전략,정보,어려움,법무,KO,12,"법무분야, 지역, USP"
84,보험법 분야 ESG 컴플라이언스 구축 시 기장군 특화 솔루션과 신뢰도 ROI 분석,정보,어려움,법무,KO,12,"법무분야, 지역"
85,기장군 기반 글로벌 증권법 프로젝트에서 경쟁력과 시간 단축 최적화 전략은?,탐색,어려움,법무,KO,10,"법무분야, 지역"
86,소송분쟁해결 전문성을 양산시 지역 접근성와 연계하여 종합적으로 분석해주세요,거래,어려움,법무,KO,8,"법무분야, 지역"
87,부산지방법원 복합 소송분쟁해결 사건에서 다학제적 접근법과 비용 효율성 효율성 평가,정보,어려움,법무,KO,10,"법무분야, 지역"
88,AI 기반 보험법 솔루션이 센텀시티 기업들의 편의성 혁신에 미치는 영향 분석,탐색,어려움,법무,KO,11,"법무분야, 지역"
89,30년 업력 기반 소송분쟁해결 크로스보더 거래에서 수영구 허브 역할과 글로컬 편의성 최적화,거래,어려움,법무,KO,12,"법무분야, 지역, USP"
90,부산지방법원 복합 조세법무 사건에서 다학제적 접근법과 신뢰도 효율성 평가,정보,어려움,법무,KO,9,"법무분야, 지역"
91,법률 파트너 기반 가족법 크로스보더 거래에서 센텀시티 허브 역할과 글로컬 성공률 최적화,정보,어려움,법무,KO,12,"법무분야, 지역, USP"
92,서면 기반 글로벌 금융법무 프로젝트에서 경쟁력과 전문성 최적화 전략은?,거래,어려움,법무,KO,9,"법무분야, 지역"
93,원스톱를 활용한 헌법 분야 디지털 혁신이 부산지방법원 법무시장에 미치는 파급효과 분석,거래,어려움,법무,KO,11,"법무분야, 지역, USP"
