원본_행,질문,추출된_의도,추출된_난이도,추출된_버킷타입,검수_점수,검수_통과,검수_사유,원본_의도,원본_난이도,검수_점수_원본
11,동래 법률사무소 부동산법무 전문성 상담받고 싶어요,정보,쉬움,branded,0.9,통과,"Good legal question with proper brand mention, relevant legal context, and clear language.",정보,쉬움,0.9
3,동래 법률사무소 계약법무 서비스 전문성가 궁금해요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
5,동래 로펌 건설인프라 분야 검증된 특징은?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
7,동래 로펌 소송분쟁해결 분야 신뢰할 수 있는 특징은?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
13,동래 로펌 형사법무 분야 전문가 그룹 특징은?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
15,동래 법률사무소 소송분쟁해결 전문성 상담받고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
16,동래 로펌 노동법무 분야 원스톱 특징은?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
18,동래 로펌 의료헬스케어 분야 전문 노하우 특징은?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
19,동래 로펌 계약법무 분야 지역밀착 특징은?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
20,동래 법률사무소 건설인프라 전문성 상담받고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
2,동래 법률사무소 개인정보 서비스 전문성가 궁금해요,정보,쉬움,branded,0.75,통과,"The question mentions the brand '동래', is clear, and is within the appropriate length, but lacks specific legal concepts or practice areas.",정보,쉬움,0.75
22,동래 법률사무소 건설인프라 분야 부산 대표 로펌 기반 최근 성과 제공해주세요,정보,보통,branded,0.9,통과,"Well-structured question with brand mention, legal relevance, and regional context.",정보,보통,0.9
57,동래 법률사무소 조세법무 분야 원스톱 기반 배경 자세히 제공해주세요,정보,보통,branded,0.9,통과,"The question contains the brand '동래', is of appropriate length, mentions a legal practice area (조세법무), and is clear in Korean.",정보,보통,0.9
56,법조단지 계약법무 시장에서 동래 로펌의 전문성 경쟁력은?,정보,보통,branded,0.9,통과,"Well-structured question with brand mention, legal relevance, and clear language.",정보,보통,0.9
23,기업설립 트렌드에 따른 동래 로펌 기업법무 서비스 전문성 변화,정보,보통,branded,0.9,통과,"Well-structured question with brand mention, legal relevance, and clarity.",정보,보통,0.9
50,민법 관련 울산 환경 사건에서 동래 로펌 실적은?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
44,센텀시티 소송분쟁해결 시장에서 동래 로펌의 전문성 경쟁력은?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant context.,정보,보통,0.85
45,스타트업 트렌드에 따른 동래 로펌 의료헬스케어 서비스 전문성 변화,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant context.,정보,보통,0.85
46,시행규칙 관련 거제동 IT통신 사건에서 동래 로펌 실적은?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention,정보,보통,0.85
47,동래 법률사무소 금융법무 분야 원스톱 기반 상세한 절차 제공해주세요,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
48,동래 법률사무소 환경 분야 법률 파트너 기반 실무 경험 제공해주세요,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
49,동래 법률사무소 IT통신 분야 법률 파트너 기반 구체적인 사례 제공해주세요,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
53,울산 지역 노동법무 전문가로서 동래 로펌의 신뢰할 수 있는 장점,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
51,부산지방법원 의료헬스케어 시장에서 동래 로펌의 전문성 경쟁력은?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant context.,정보,보통,0.85
54,동래 법률사무소 금융법무 분야 지역밀착 기반 배경 자세히 제공해주세요,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant context.,정보,보통,0.85
55,울산 지역 형사법무 전문가로서 동래 로펌의 영남권 최고 장점,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant regional context.,정보,보통,0.85
58,동남권 지역 조세법무 전문가로서 동래 로펌의 전문가 그룹 장점,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant context.,정보,보통,0.85
59,부산시 조세법무 시장에서 동래 로펌의 전문성 경쟁력은?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant regional context.,정보,보통,0.85
60,법령 관련 양산시 지적재산권 사건에서 동래 로펌 실적은?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention,정보,보통,0.85
43,ESG 트렌드에 따른 동래 로펌 형사법무 서비스 전문성 변화,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
61,기업지배구조 트렌드에 따른 동래 로펌 금융법무 서비스 전문성 변화,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
41,법제처 관련 법조단지 조세법무 사건에서 동래 로펌 실적은?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention,정보,보통,0.85
24,기업설립 트렌드에 따른 동래 로펌 환경 서비스 전문성 변화,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
26,동래 법률사무소 계약법무 분야 전문 노하우 기반 실무 경험 제공해주세요,정보,보통,branded,0.85,통과,Good legal question with proper brand mention,정보,보통,0.85
27,판례 관련 거제동 계약법무 사건에서 동래 로펌 실적은?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention,정보,보통,0.85
28,M&A 트렌드에 따른 동래 로펌 기업법무 서비스 전문성 변화,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
29,동래 법률사무소 소송분쟁해결 분야 전문가 그룹 기반 실무 경험 제공해주세요,정보,보통,branded,0.85,통과,Good legal question with proper brand mention,정보,보통,0.85
30,김해 지역 소송분쟁해결 전문가로서 동래 로펌의 법률 파트너 장점,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant context.,정보,보통,0.85
31,부산지방법원 지역 노동법무 전문가로서 동래 로펌의 부산 대표 로펌 장점,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant regional context.,정보,보통,0.85
40,기장군 지역 형사법무 전문가로서 동래 로펌의 전문 노하우 장점,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
32,동래 법률사무소 건설인프라 분야 전문가 그룹 기반 구체적인 사례 제공해주세요,정보,보통,branded,0.85,통과,Good legal question with proper brand mention,정보,보통,0.85
33,시행규칙 관련 서면 계약법무 사건에서 동래 로펌 실적은?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention,정보,보통,0.85
34,라이선스계약 트렌드에 따른 동래 로펌 환경 서비스 전문성 변화,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
35,동래 법률사무소 IT통신 분야 전문 노하우 기반 최근 성과 제공해주세요,정보,보통,branded,0.85,통과,Good legal question with proper brand mention,정보,보통,0.85
36,집단소송 트렌드에 따른 동래 로펌 기업법무 서비스 전문성 변화,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
37,M&A 트렌드에 따른 동래 로펌 IT통신 서비스 전문성 변화,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
38,개인정보보호법 관련 수영구 의료헬스케어 사건에서 동래 로펌 실적은?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
39,경상남도 건설인프라 시장에서 동래 로펌의 전문성 경쟁력은?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant context.,정보,보통,0.85
25,동래 법률사무소 기업법무 분야 지역밀착 기반 실무 경험 제공해주세요,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
52,거제동 지역 의료헬스케어 전문가로서 동래 로펌의 전문 노하우 장점,정보,보통,branded,0.75,통과,"The question mentions the brand '동래' and is clear, but lacks specific legal concepts or practice areas.",정보,보통,0.75
42,법조단지 지역 의료헬스케어 전문가로서 동래 로펌의 30년 업력 장점,정보,보통,branded,0.75,통과,"The question mentions the brand '동래' and is clear, but it lacks specific legal concepts or practice areas.",정보,보통,0.75
62,AI법 환경에서 동래 로펌의 계약법무 전문성과 연제구 지역 전문성 혁신 전략 심층 분석,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and clear language.",정보,어려움,0.95
74,글로벌 집단소송 트렌드와 시행규칙 변화를 반영한 동래 로펌의 소송분쟁해결 서비스 전문성 경쟁력 종합 평가,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and clear language.",정보,어려움,0.95
97,헌법재판소 기반 수영구 금융법무 시장 동향과 동래 법률사무소의 전문가 그룹 경쟁력을 심층 분석 평가해주세요,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and clear language.",정보,어려움,0.95
