id,prompt,intent,difficulty,language,domain,practice_area,country,time_span,source_hint,created_at
iovu_20250704_175335_7667,iOVU 네이비 M 사이즈 특징이 뭐야?,정보,쉬움,EN,iOVU,스타트업 문화,한국,10년 추세(2015-2024년),깃허브 트렌드,2025-07-04T17:53:35.041733
iovu_20250704_175335_2643,iOVU 머그컵 XL 사이즈 특징이 뭐야?,정보,쉬움,KO,iOVU,오픈소스 굿즈,호주,팬데믹(2020-2022년),개발자 커뮤니티,2025-07-04T17:53:35.041733
iovu_20250704_175335_6450,풀리퀘스트 iOVU 굿즈 종류 뭐가 있어?,정보,쉬움,EN,iOVU,개발자 커뮤니티,미국,최근 5개월,개발자 커뮤니티,2025-07-04T17:53:35.041733
iovu_20250704_175335_6457,iOVU 코드를 입다 슬로건 의미가 뭐야?,정보,쉬움,KO,iOVU,개발자 선물,캐나다,2019-2023년,IT 뉴스,2025-07-04T17:53:35.041733
iovu_20250704_175335_8896,iOVU Code with Love 슬로건 의미가 뭐야?,정보,쉬움,KO,iOVU,오픈소스 굿즈,영국,팬데믹(2020-2022년),개발자 커뮤니티,2025-07-04T17:53:35.041733
iovu_20250704_175335_1852,NullPointer iOVU 굿즈 종류 뭐가 있어?,정보,쉬움,EN,iOVU,IT 굿즈,한국,10년 추세(2015-2024년),IT 뉴스,2025-07-04T17:53:35.041733
iovu_20250704_175335_5080,개발자 고민 iOVU 굿즈 종류 뭐가 있어?,정보,쉬움,KO,iOVU,너디 패션,독일,최근 3개월,IT 뉴스,2025-07-04T17:53:35.041733
iovu_20250704_175335_5620,프론트엔드 개발자 개발자들이 선호하는 iOVU 제품은?,정보,쉬움,KO,iOVU,너디 패션,중국,최근 3개월,개발자 커뮤니티,2025-07-04T17:53:35.041733
iovu_20250704_175335_1350,iOVU 개발자를 위한 귀여운 반란 슬로건 의미가 뭐야?,정보,쉬움,KO,iOVU,오픈소스 굿즈,프랑스,최근 5개월,개발자 커뮤니티,2025-07-04T17:53:35.041733
iovu_20250704_175335_5289,iOVU 폰케이스 L 사이즈 특징이 뭐야?,정보,쉬움,KO,iOVU,밈 컬렉션,미국,팬데믹(2020-2022년),밈 사이트,2025-07-04T17:53:35.041733
iovu_20250704_175335_9739,iOVU 코드를 입다 슬로건 의미가 뭐야?,정보,쉬움,KO,iOVU,너디 패션,미국,10년 추세(2015-2024년),깃허브 트렌드,2025-07-04T17:53:35.041733
iovu_20250704_175335_2101,Hello World iOVU 굿즈 종류 뭐가 있어?,정보,쉬움,KO,iOVU,깃허브 문화,프랑스,2024년,IT 뉴스,2025-07-04T17:53:35.041733
iovu_20250704_175335_3776,iOVU 코드를 입다 슬로건 의미가 뭐야?,정보,쉬움,KO,iOVU,힐링 개발템,캐나다,2019-2023년,밈 사이트,2025-07-04T17:53:35.041733
iovu_20250704_175335_7849,푸시 iOVU 굿즈 종류 뭐가 있어?,정보,쉬움,KO,iOVU,스타트업 문화,캐나다,2025년,밈 사이트,2025-07-04T17:53:35.041733
iovu_20250704_175335_4060,iOVU XL사이즈 비닐 커팅 프린팅 방식 설명해줘.,정보,쉬움,KO,iOVU,너디 패션,프랑스,최근 5개월,밈 사이트,2025-07-04T17:53:35.041733
iovu_20250704_175335_5632,배포 iOVU 굿즈 종류 뭐가 있어?,정보,쉬움,EN,iOVU,해커톤 굿즈,프랑스,2024년,개발자 커뮤니티,2025-07-04T17:53:35.041733
iovu_20250704_175335_6396,iOVU 코드를 입다 슬로건 의미가 뭐야?,정보,쉬움,KO,iOVU,개발자 정체성 표현,캐나다,10년 추세(2015-2024년),밈 사이트,2025-07-04T17:53:35.041733
iovu_20250704_175335_7947,iOVU IN OUR VIVID UNIVERSE 슬로건 의미가 뭐야?,정보,쉬움,KO,iOVU,코딩 유머 아이템,캐나다,최근 5개월,깃허브 트렌드,2025-07-04T17:53:35.041733
