prompt,query,sample_id,template_used,어절수,고유단어수,URL포함,상품속성포함,extracted_keywords_practice_area,extracted_keywords_region,extracted_keywords_metric,extracted_keywords_intent,extracted_keywords_difficulty,final_parameters_practice_area,final_parameters_metric,final_parameters_region,final_parameters_time_span,final_parameters_source_hint,final_parameters_language_ratio,final_parameters_intent,final_parameters_difficulty,brand_info_name,brand_info_description,brand_info_website,brand_info_slogan,brand_info_concept,brand_info_target,brand_info_specialties,brand_info_products,brand_info_features
전문적인 트렌디한 실용적인 창의적인 현대적인 iOVU 힐링템 컨셉이 무엇인지 설명해주세요 더 자세한 정보는 https://iovu-shop.vercel.app/ 참고하세요,전문적인 트렌디한 실용적인 창의적인 현대적인 iOVU 힐링템 컨셉이 무엇인지 설명해주세요 더 자세한 정보는 https://iovu-shop.vercel.app/ 참고하세요,iovu_optimized_v3_0001,iOVU {meme} 컨셉이 무엇인지 설명해주세요,15,17,True,False,힐링템 에코백,싱가포르,친환경프린팅,정보,쉬움,힐링템 에코백,친환경프린팅,싱가포르,올해,디스코드,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
매력적인 트렌디한 iOVU IN OUR VIVID UNIVERSE 슬로건의 의미가 뭐에요? 더 자세한 정보는 https://iovu-shop.vercel.app/collections 참고하세요,매력적인 트렌디한 iOVU IN OUR VIVID UNIVERSE 슬로건의 의미가 뭐에요? 더 자세한 정보는 https://iovu-shop.vercel.app/collections 참고하세요,iovu_optimized_v3_0002,iOVU {slogan} 슬로건의 의미가 뭐에요?,15,18,True,False,너디감성 마우스패드,캐나다,DTG,정보,쉬움,너디감성 마우스패드,DTG,캐나다,2024년,디스코드,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,IN OUR VIVID UNIVERSE,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
매력적인 세련된 실용적인 고품질 전문적인 iOVU 코딩스타일 컨셉이 무엇인지 설명해주세요 더 자세한 정보는 https://iovu-shop.vercel.app/products 참고하세요,매력적인 세련된 실용적인 고품질 전문적인 iOVU 코딩스타일 컨셉이 무엇인지 설명해주세요 더 자세한 정보는 https://iovu-shop.vercel.app/products 참고하세요,iovu_optimized_v3_0003,iOVU {meme} 컨셉이 무엇인지 설명해주세요,15,18,True,False,코딩스타일 프린팅,호주,다중색,정보,쉬움,코딩스타일 프린팅,다중색,호주,2024년,GitHub,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,Developer Fashion,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
세련된 고품질 iOVU 개발자를 위한 귀여운 반란 슬로건의 의미가 뭐에요? 더 자세한 정보는 https://discord.gg/iovu 참고하세요,세련된 고품질 iOVU 개발자를 위한 귀여운 반란 슬로건의 의미가 뭐에요? 더 자세한 정보는 https://discord.gg/iovu 참고하세요,iovu_optimized_v3_0004,iOVU {slogan} 슬로건의 의미가 뭐에요?,15,16,True,False,개발자라이프 에코백,호주,내구성프린팅,정보,쉬움,개발자라이프 에코백,내구성프린팅,호주,최근 3개월,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
세련된 고품질 전문적인 iOVU 밈도 입는 시대 슬로건의 의미가 뭐에요? 더 자세한 정보는 https://iovu-shop.vercel.app/collections 참고하세요,세련된 고품질 전문적인 iOVU 밈도 입는 시대 슬로건의 의미가 뭐에요? 더 자세한 정보는 https://iovu-shop.vercel.app/collections 참고하세요,iovu_optimized_v3_0005,iOVU {slogan} 슬로건의 의미가 뭐에요?,15,18,True,False,코딩스타일 품질,호주,다중색,정보,쉬움,코딩스타일 품질,다중색,호주,최근 3개월,iOVU 공식몰,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,밈도 입는 시대,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
트렌디한 전문적인 실용적인 세련된 혁신적인 iOVU 개발자밈 컨셉이 무엇인지 설명해주세요 더 자세한 정보는 https://discord.gg/iovu 참고하세요,트렌디한 전문적인 실용적인 세련된 혁신적인 iOVU 개발자밈 컨셉이 무엇인지 설명해주세요 더 자세한 정보는 https://discord.gg/iovu 참고하세요,iovu_optimized_v3_0006,iOVU {meme} 컨셉이 무엇인지 설명해주세요,15,16,True,False,개발자밈 에코백,영국,열전사,정보,쉬움,개발자밈 에코백,열전사,영국,올해,디스코드,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
독특한 세련된 전문적인 창의적인 혁신적인 iOVU 코딩스타일 컨셉이 무엇인지 설명해주세요 더 자세한 정보는 https://instagram.com/iovu_official 참고하세요,독특한 세련된 전문적인 창의적인 혁신적인 iOVU 코딩스타일 컨셉이 무엇인지 설명해주세요 더 자세한 정보는 https://instagram.com/iovu_official 참고하세요,iovu_optimized_v3_0007,iOVU {meme} 컨셉이 무엇인지 설명해주세요,15,17,True,False,코딩스타일 디자인,미국,다중색,정보,쉬움,코딩스타일 디자인,다중색,미국,최근 3개월,GitHub,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,Coding with Style,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
세련된 전문적인 독특한 혁신적인 현대적인 iOVU 밈컬렉션 컨셉이 무엇인지 설명해주세요 더 자세한 정보는 https://discord.gg/iovu 참고하세요,세련된 전문적인 독특한 혁신적인 현대적인 iOVU 밈컬렉션 컨셉이 무엇인지 설명해주세요 더 자세한 정보는 https://discord.gg/iovu 참고하세요,iovu_optimized_v3_0008,iOVU {meme} 컨셉이 무엇인지 설명해주세요,15,16,True,False,밈컬렉션 컬러,캐나다,Sublimation,정보,쉬움,밈컬렉션 컬러,Sublimation,캐나다,최근 1년,iOVU 공식몰,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
창의적인 전문적인 혁신적인 맨투맨 친환경프린팅으로 제작된 iOVU 제품 정보 알려주세요 더 자세한 정보는 https://iovu-shop.vercel.app/products 참고하세요,창의적인 전문적인 혁신적인 맨투맨 친환경프린팅으로 제작된 iOVU 제품 정보 알려주세요 더 자세한 정보는 https://iovu-shop.vercel.app/products 참고하세요,iovu_optimized_v3_0009,{core_attr} {printing}으로 제작된 iOVU 제품 정보 알려주세요,15,18,True,True,너드패션 맨투맨,영국,친환경프린팅,정보,쉬움,너드패션 맨투맨,친환경프린팅,영국,최근 3개월,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,IN OUR VIVID UNIVERSE,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
창의적인 세련된 전문적인 현대적인 독특한 에코백에 적용된 고품질프린팅 기술이 뭔가요? 더 자세한 정보는 https://instagram.com/iovu_official 참고하세요,창의적인 세련된 전문적인 현대적인 독특한 에코백에 적용된 고품질프린팅 기술이 뭔가요? 더 자세한 정보는 https://instagram.com/iovu_official 참고하세요,iovu_optimized_v3_0010,{core_attr}에 적용된 {printing} 기술이 뭔가요?,15,17,True,True,개발자라이프 에코백,영국,고품질프린팅,정보,쉬움,개발자라이프 에코백,고품질프린팅,영국,최근 1년,iOVU 공식몰,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,Dev + Cute = iOVU,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
