번호,질문,의도,난이도,도메인,언어,어절수,키워드_포함
1,계약법무 초기 대응 도움받고 싶어요,탐색,쉬움,법무,KO,5,법무분야
2,부산 경남에서 행정법 전문 변호사 찾고 있어요,탐색,쉬움,법무,KO,7,"법무분야, 지역"
3,기업법무 수임료는 어느 정도인가요?,정보,쉬움,법무,KO,4,법무분야
4,남포동 거주자인데 IT통신 상담 받고 싶어요,거래,쉬움,법무,KO,6,"법무분야, 지역"
5,부산 부산에서 상속법 전문 변호사 찾고 있어요,거래,쉬움,법무,KO,7,"법무분야, 지역"
6,가족법 수임료는 어느 정도인가요?,탐색,쉬움,법무,KO,4,법무분야
7,부산 동래구에서 조세법무 전문 변호사 찾고 있어요,정보,쉬움,법무,KO,7,"법무분야, 지역"
8,부산지방법원 거주자인데 IT통신 상담 받고 싶어요,정보,쉬움,법무,KO,6,"법무분야, 지역"
9,상속법 변호사 경력이 궁금해요,탐색,쉬움,법무,KO,4,법무분야
10,법조단지 거주자인데 금융법무 상담 받고 싶어요,거래,쉬움,법무,KO,6,"법무분야, 지역"
11,IT통신 수임료는 어느 정도인가요?,정보,쉬움,법무,KO,4,법무분야
12,연제구 거주자인데 부동산법무 상담 받고 싶어요,거래,쉬움,법무,KO,6,"법무분야, 지역"
13,헌법 변호사 경력이 궁금해요,정보,쉬움,법무,KO,4,법무분야
14,개인정보 변호사 경력이 궁금해요,탐색,쉬움,법무,KO,4,법무분야
15,부동산법무 사건으로 법률사무소 방문 예약하고 싶어요,탐색,쉬움,법무,KO,6,법무분야
16,회생법 변호사 경력이 궁금해요,탐색,쉬움,법무,KO,4,법무분야
17,센텀시티 거주자인데 개인정보 상담 받고 싶어요,정보,쉬움,법무,KO,6,"법무분야, 지역"
18,기업법무 관련 무료상담 있나요?,탐색,쉬움,법무,KO,4,법무분야
19,부산지방법원 형사법무 소송 도움받을 수 있나요?,거래,쉬움,법무,KO,6,"법무분야, 지역"
20,증권법 관련 무료상담 있나요?,정보,쉬움,법무,KO,4,법무분야
21,기업법무 관련 법률사무소 상담 가능한가요?,탐색,쉬움,법무,KO,5,법무분야
22,의료헬스케어 초기 대응 도움받고 싶어요,정보,쉬움,법무,KO,5,법무분야
23,소송분쟁해결 변호사 경력이 궁금해요,탐색,쉬움,법무,KO,4,법무분야
24,부산 연제구에서 금융법무 전문 변호사 찾고 있어요,거래,쉬움,법무,KO,7,"법무분야, 지역"
25,부산 서면에서 국제법 전문 변호사 찾고 있어요,거래,쉬움,법무,KO,7,"법무분야, 지역"
26,부산 노동법무 전문 로펌 평판은 어떤가요?,탐색,쉬움,법무,KO,6,"법무분야, 지역"
27,부산 양산시에서 계약법무 전문 변호사 찾고 있어요,거래,쉬움,법무,KO,7,"법무분야, 지역"
28,헌법 사건으로 법률사무소 방문 예약하고 싶어요,탐색,쉬움,법무,KO,6,법무분야
29,소송분쟁해결 관련 무료상담 있나요?,정보,쉬움,법무,KO,4,법무분야
30,IT통신 초기 대응 도움받고 싶어요,정보,쉬움,법무,KO,5,법무분야
31,부산 남포동에서 IT통신 전문 변호사 찾고 있어요,탐색,쉬움,법무,KO,7,"법무분야, 지역"
32,국제법 초기 대응 도움받고 싶어요,탐색,쉬움,법무,KO,5,법무분야
33,부동산법무 초기 대응 도움받고 싶어요,정보,쉬움,법무,KO,5,법무분야
34,노동법무 변호사 경력이 궁금해요,탐색,쉬움,법무,KO,4,법무분야
35,환경 변호사 경력이 궁금해요,정보,쉬움,법무,KO,4,법무분야
36,개인정보 수임료는 어느 정도인가요?,탐색,쉬움,법무,KO,4,법무분야
37,부산 동래구에서 가족법 전문 변호사 찾고 있어요,거래,쉬움,법무,KO,7,"법무분야, 지역"
38,계약법무 변호사 경력이 궁금해요,정보,쉬움,법무,KO,4,법무분야
39,부산 거주자인데 부동산법무 상담 받고 싶어요,정보,쉬움,법무,KO,6,"법무분야, 지역"
40,IT통신 관련 무료상담 있나요?,거래,쉬움,법무,KO,4,법무분야
41,부산 금융법무 전문 로펌 평판은 어떤가요?,탐색,쉬움,법무,KO,6,"법무분야, 지역"
42,지적재산권 수임료는 어느 정도인가요?,탐색,쉬움,법무,KO,4,법무분야
43,부산지방법원 소송분쟁해결 소송 도움받을 수 있나요?,정보,쉬움,법무,KO,6,"법무분야, 지역"
44,부산 영남권에서 금융법무 전문 변호사 찾고 있어요,탐색,쉬움,법무,KO,7,"법무분야, 지역"
45,부산지방법원 부동산법무 소송 도움받을 수 있나요?,탐색,쉬움,법무,KO,6,"법무분야, 지역"
46,증권법 초기 대응 도움받고 싶어요,정보,쉬움,법무,KO,5,법무분야
47,소송분쟁해결 관련 법률사무소 상담 가능한가요?,정보,쉬움,법무,KO,5,법무분야
48,경상남도 거주자인데 부동산법무 상담 받고 싶어요,탐색,쉬움,법무,KO,6,"법무분야, 지역"
49,금융법무 수임료는 어느 정도인가요?,정보,쉬움,법무,KO,4,법무분야
50,부산지방법원 상속법 소송 도움받을 수 있나요?,거래,쉬움,법무,KO,6,"법무분야, 지역"
51,의료헬스케어 변호사 경력이 궁금해요,탐색,쉬움,법무,KO,4,법무분야
52,형사법무 사건으로 법률사무소 방문 예약하고 싶어요,정보,쉬움,법무,KO,6,법무분야
53,양산시 거주자인데 부동산법무 상담 받고 싶어요,탐색,쉬움,법무,KO,6,"법무분야, 지역"
54,지적재산권 사건으로 법률사무소 방문 예약하고 싶어요,거래,쉬움,법무,KO,6,법무분야
55,해운대 거주자인데 형사법무 상담 받고 싶어요,정보,쉬움,법무,KO,6,"법무분야, 지역"
56,소송분쟁해결 수임료는 어느 정도인가요?,거래,쉬움,법무,KO,4,법무분야
57,지적재산권 관련 무료상담 있나요?,정보,쉬움,법무,KO,4,법무분야
58,부산지방법원 환경 소송 도움받을 수 있나요?,탐색,쉬움,법무,KO,6,"법무분야, 지역"
59,형사법무 수임료는 어느 정도인가요?,정보,쉬움,법무,KO,4,법무분야
60,노동법무 관련 법률사무소 상담 가능한가요?,정보,쉬움,법무,KO,5,법무분야
61,부산 남포동에서 부동산법무 전문 변호사 찾고 있어요,거래,쉬움,법무,KO,7,"법무분야, 지역"
62,부산 동남권에서 지적재산권 전문 변호사 찾고 있어요,탐색,쉬움,법무,KO,7,"법무분야, 지역"
63,IT통신 관련 법률사무소 상담 가능한가요?,거래,쉬움,법무,KO,5,법무분야
64,증권법 사건으로 법률사무소 방문 예약하고 싶어요,탐색,쉬움,법무,KO,6,법무분야
65,부산지방법원 가족법 소송 도움받을 수 있나요?,거래,쉬움,법무,KO,6,"법무분야, 지역"
66,부산 개인정보 전문 로펌 평판은 어떤가요?,거래,쉬움,법무,KO,6,"법무분야, 지역"
67,국제법 수임료는 어느 정도인가요?,정보,쉬움,법무,KO,4,법무분야
68,건설인프라 변호사 경력이 궁금해요,정보,쉬움,법무,KO,4,법무분야
69,의료헬스케어 관련 무료상담 있나요?,탐색,쉬움,법무,KO,4,법무분야
70,회생법 수임료는 어느 정도인가요?,탐색,쉬움,법무,KO,4,법무분야
71,거제동 거주자인데 지적재산권 상담 받고 싶어요,거래,쉬움,법무,KO,6,"법무분야, 지역"
72,회생법 관련 법률사무소 상담 가능한가요?,거래,쉬움,법무,KO,5,법무분야
73,소송분쟁해결 초기 대응 도움받고 싶어요,정보,쉬움,법무,KO,5,법무분야
74,계약법무 사건으로 법률사무소 방문 예약하고 싶어요,정보,쉬움,법무,KO,6,법무분야
75,부산 회생법 전문 로펌 평판은 어떤가요?,거래,쉬움,법무,KO,6,"법무분야, 지역"
76,부산 경상남도에서 계약법무 전문 변호사 찾고 있어요,정보,쉬움,법무,KO,7,"법무분야, 지역"
