번호,질문,의도,난이도,도메인,언어,어절수,키워드_포함
1,동남권 거주자인데 기업법무 상담 받고 싶어요,탐색,쉬움,법무,KO,6,"법무분야, 지역"
2,지적재산권 관련 무료상담 있나요?,정보,쉬움,법무,KO,4,법무분야
3,부산 경상남도에서 IT통신 전문 변호사 찾고 있어요,정보,쉬움,법무,KO,7,"법무분야, 지역"
4,부산지방법원 거주자인데 지적재산권 상담 받고 싶어요,거래,쉬움,법무,KO,6,"법무분야, 지역"
5,경남 거주자인데 기업법무 상담 받고 싶어요,정보,쉬움,법무,KO,6,"법무분야, 지역"
6,부산 행정법 전문 로펌 평판은 어떤가요?,거래,쉬움,법무,KO,6,"법무분야, 지역"
7,부산 연제구에서 의료헬스케어 전문 변호사 찾고 있어요,탐색,쉬움,법무,KO,7,"법무분야, 지역"
8,회생법 변호사 경력이 궁금해요,거래,쉬움,법무,KO,4,법무분야
9,금융법무 수임료는 어느 정도인가요?,탐색,쉬움,법무,KO,4,법무분야
10,국제법 초기 대응 도움받고 싶어요,거래,쉬움,법무,KO,5,법무분야
11,상속법 관련 무료상담 있나요?,거래,쉬움,법무,KO,4,법무분야
12,국제법 관련 법률사무소 상담 가능한가요?,탐색,쉬움,법무,KO,5,법무분야
13,행정법 초기 대응 도움받고 싶어요,정보,쉬움,법무,KO,5,법무분야
14,개인정보 초기 대응 도움받고 싶어요,거래,쉬움,법무,KO,5,법무분야
15,국제법 관련 무료상담 있나요?,거래,쉬움,법무,KO,4,법무분야
16,상속법 사건으로 법률사무소 방문 예약하고 싶어요,정보,쉬움,법무,KO,6,법무분야
17,부산 경남에서 상속법 전문 변호사 찾고 있어요,탐색,쉬움,법무,KO,7,"법무분야, 지역"
18,행정법 관련 법률사무소 상담 가능한가요?,거래,쉬움,법무,KO,5,법무분야
19,헌법 초기 대응 도움받고 싶어요,탐색,쉬움,법무,KO,5,법무분야
20,부산 환경 전문 로펌 평판은 어떤가요?,거래,쉬움,법무,KO,6,"법무분야, 지역"
21,부산지방법원 형사법무 전문 로펌들의 서비스 특징과 장단점 비교,탐색,보통,법무,KO,8,"법무분야, 지역"
22,IT통신 관련 경남 법률사무소들의 신뢰도 차이점은?,탐색,보통,법무,KO,6,"법무분야, 지역"
23,부산 기업법무 분야에서 차별화 우수한 로펌들 순위는?,탐색,보통,법무,KO,7,"법무분야, 지역"
24,부산 부동산법무 분야에서 혁신성 우수한 로펌들 순위는?,탐색,보통,법무,KO,7,"법무분야, 지역"
25,계약법무 관련 기장군 법률사무소 선택 기준과 추천 리스트,탐색,보통,법무,KO,8,"법무분야, 지역"
26,기업법무 사건 처리 시 기장군 법무법인들의 접근 방식 비교,거래,보통,법무,KO,9,"법무분야, 지역"
27,부산 증권법 분야에서 접근성 우수한 로펌들 순위는?,탐색,보통,법무,KO,7,"법무분야, 지역"
28,부동산법무 관련 경남 법률사무소들의 투명성 차이점은?,탐색,보통,법무,KO,6,"법무분야, 지역"
29,금융법무 관련 남포동 법률사무소들의 접근성 차이점은?,탐색,보통,법무,KO,6,"법무분야, 지역"
30,경상남도 기반 지적재산권 전문 변호사들의 실적 비교해주세요,탐색,보통,법무,KO,7,"법무분야, 지역"
31,해운대 지역 형사법무 전문가 중에서 편의성 좋은 곳 추천해주세요,탐색,보통,법무,KO,9,"법무분야, 지역"
32,소송분쟁해결 사건 처리 시 기장군 법무법인들의 접근 방식 비교,거래,보통,법무,KO,9,"법무분야, 지역"
33,경남 기반 가족법 전문 변호사들의 실적 비교해주세요,정보,보통,법무,KO,7,"법무분야, 지역"
34,상속법 사건 처리 시 부산 법무법인들의 접근 방식 비교,거래,보통,법무,KO,9,"법무분야, 지역"
