id,prompt,intent,difficulty,language,domain,practice_area,country,time_span,source_hint,created_at
iovu_20250705_090451_6892,iOVU 캔버스 UV 프린팅 프린팅 방식 설명해줘.,정보,쉬움,KO,iOVU,개발자 정체성 표현,한국,10년 추세(2015-2024년),깃허브 트렌드,2025-07-05T09:04:51.086737
iovu_20250705_090451_6852,데이터 사이언티스트 개발자들이 선호하는 iOVU 제품은?,정보,쉬움,KO,iOVU,코딩 유머 아이템,중국,2019-2023년,깃허브 트렌드,2025-07-05T09:04:51.086737
iovu_20250705_090451_5473,iOVU 네이비 UV 프린팅 프린팅 방식 설명해줘.,정보,쉬움,KO,iOVU,프로그래머 라이프스타일,중국,10년 추세(2015-2024년),개발자 커뮤니티,2025-07-05T09:04:51.086737
iovu_20250705_090451_1106,iOVU 폰케이스 XL 사이즈 특징이 뭐야?,정보,쉬움,KO,iOVU,밈 컬렉션,미국,팬데믹(2020-2022년),밈 사이트,2025-07-05T09:04:51.086737
iovu_20250705_090451_3962,iOVU IN OUR VIVID UNIVERSE 슬로건 의미가 뭐야?,정보,쉬움,EN,iOVU,IT 굿즈,호주,최근 3개월,밈 사이트,2025-07-05T09:04:51.086737
iovu_20250705_090451_5832,iOVU XL사이즈 UV 프린팅 프린팅 방식 설명해줘.,정보,쉬움,KO,iOVU,프로그래머 라이프스타일,영국,최근 5개월,깃허브 트렌드,2025-07-05T09:04:51.086737
iovu_20250705_090451_2884,iOVU 그레이 XL 사이즈 특징이 뭐야?,정보,쉬움,KO,iOVU,IT 굿즈,영국,최근 3개월,밈 사이트,2025-07-05T09:04:51.086737
iovu_20250705_090451_3618,404 에러 iOVU 굿즈 종류 뭐가 있어?,정보,쉬움,KO,iOVU,개발자 커뮤니티,캐나다,2019-2023년,개발자 커뮤니티,2025-07-05T09:04:51.086737
iovu_20250705_090451_7032,데브옵스 개발자들이 선호하는 iOVU 제품은?,정보,쉬움,EN,iOVU,개발자 커뮤니티,독일,10년 추세(2015-2024년),IT 뉴스,2025-07-05T09:04:51.086737
iovu_20250705_090451_9406,데브옵스 개발자들이 선호하는 iOVU 제품은?,정보,쉬움,KO,iOVU,스타트업 문화,한국,2019-2023년,개발자 커뮤니티,2025-07-05T09:04:51.086737
iovu_20250705_090451_4923,iOVU 볼펜 XL 사이즈 특징이 뭐야?,정보,쉬움,KO,iOVU,오픈소스 굿즈,프랑스,최근 3개월,개발자 커뮤니티,2025-07-05T09:04:51.086737
iovu_20250705_090451_1460,iOVU 개발자를 위한 귀여운 반란 슬로건 의미가 뭐야?,정보,쉬움,KO,iOVU,깃허브 문화,영국,팬데믹(2020-2022년),밈 사이트,2025-07-05T09:04:51.086737
iovu_20250705_090451_9373,iOVU 코드를 입다 메시지가 IT 업계 종사자에게 주는 의미는?,정보,보통,EN,iOVU,깃허브 문화,영국,최근 3개월,개발자 커뮤니티,2025-07-05T09:04:51.086737
iovu_20250705_090451_8110,UV 프린팅 프린팅의 iOVU 제품 품질 차이 설명해줘.,정보,보통,KO,iOVU,오픈소스 굿즈,호주,2024년,깃허브 트렌드,2025-07-05T09:04:51.086737
iovu_20250705_090451_2889,iOVU Debug & Chill 메시지가 20-30대에게 주는 의미는?,정보,보통,KO,iOVU,힐링 개발템,독일,10년 추세(2015-2024년),밈 사이트,2025-07-05T09:04:51.086737
iovu_20250705_090451_3922,GitHub 스타 개발자들의 iOVU 볼펜 선호 스타일 비교해줘.,정보,보통,KO,iOVU,밈 컬렉션,호주,팬데믹(2020-2022년),밈 사이트,2025-07-05T09:04:51.086737
iovu_20250705_090451_6170,풀스택 개발자 개발자들의 iOVU XL사이즈 선호 스타일 비교해줘.,정보,보통,KO,iOVU,개발자 정체성 표현,호주,최근 3개월,개발자 커뮤니티,2025-07-05T09:04:51.086737
iovu_20250705_090451_6248,iOVU 아크릴 열전사 제작 시 품질 관리 방법은?,정보,보통,KO,iOVU,개발자 밈 굿즈,독일,2019-2023년,밈 사이트,2025-07-05T09:04:51.086737
iovu_20250705_090451_5064,iOVU 브랜치 컨셉과 다른 브랜드의 차이점은?,정보,보통,KO,iOVU,개발자 커뮤니티,미국,최근 5개월,밈 사이트,2025-07-05T09:04:51.086737
iovu_20250705_090451_6387,스터디 모임 개발자들의 iOVU 폰케이스 선호 스타일 비교해줘.,정보,보통,KO,iOVU,코딩 유머 아이템,영국,2025년,개발자 커뮤니티,2025-07-05T09:04:51.086737
iovu_20250705_090451_2685,코딩 부트캠프 개발자들의 iOVU 코튼 선호 스타일 비교해줘.,정보,보통,KO,iOVU,오픈소스 굿즈,한국,2024년,IT 뉴스,2025-07-05T09:04:51.086737
iovu_20250705_090451_2666,iOVU Code with Love 메시지가 IT 업계 종사자에게 주는 의미는?,정보,보통,KO,iOVU,해커톤 굿즈,호주,2024년,IT 뉴스,2025-07-05T09:04:51.086737
iovu_20250705_090451_8003,iOVU IN OUR VIVID UNIVERSE 메시지가 20-30대에게 주는 의미는?,정보,보통,KO,iOVU,밈 컬렉션,호주,2024년,개발자 커뮤니티,2025-07-05T09:04:51.086737
iovu_20250705_090451_2022,iOVU Nerdy is the new cool 메시지의 스타트업 직원 타겟 가치 전달을 비판적으로 평가해줘.,정보,어려움,KO,iOVU,깃허브 문화,일본,10년 추세(2015-2024년),IT 뉴스,2025-07-05T09:04:51.086737
iovu_20250705_090451_6755,iOVU Dev + Cute = iOVU 메시지의 IT 업계 종사자 타겟 가치 전달을 비판적으로 평가해줘.,정보,어려움,KO,iOVU,개발자 정체성 표현,영국,팬데믹(2020-2022년),밈 사이트,2025-07-05T09:04:51.086737
iovu_20250705_090451_3966,iOVU Code with Love 메시지의 개발자 타겟 가치 전달을 비판적으로 평가해줘.,정보,어려움,KO,iOVU,코딩 유머 아이템,호주,10년 추세(2015-2024년),깃허브 트렌드,2025-07-05T09:04:51.086737
