번호,질문,의도,난이도,도메인,언어,어절수,키워드_포함
1,부산 부산시에서 금융법무 전문 변호사 찾고 있어요,거래,쉬움,법무,KO,7,"법무분야, 지역"
2,부산지방법원 조세법무 소송 도움받을 수 있나요?,정보,쉬움,법무,KO,6,"법무분야, 지역"
3,의료헬스케어 관련 법률사무소 상담 가능한가요?,탐색,쉬움,법무,KO,5,법무분야
4,가족법 초기 대응 도움받고 싶어요,거래,쉬움,법무,KO,5,법무분야
5,금융법무 변호사 경력이 궁금해요,정보,쉬움,법무,KO,4,법무분야
6,보험법 사건으로 법률사무소 방문 예약하고 싶어요,탐색,쉬움,법무,KO,6,법무분야
7,회생법 변호사 경력이 궁금해요,정보,쉬움,법무,KO,4,법무분야
8,부산지방법원 기업법무 소송 도움받을 수 있나요?,탐색,쉬움,법무,KO,6,"법무분야, 지역"
9,부산지방법원 노동법무 소송 도움받을 수 있나요?,탐색,쉬움,법무,KO,6,"법무분야, 지역"
10,부산 환경 전문 로펌 평판은 어떤가요?,탐색,쉬움,법무,KO,6,"법무분야, 지역"
11,건설인프라 관련 무료상담 있나요?,정보,쉬움,법무,KO,4,법무분야
12,부산지방법원 가족법 소송 도움받을 수 있나요?,거래,쉬움,법무,KO,6,"법무분야, 지역"
13,IT통신 변호사 경력이 궁금해요,정보,쉬움,법무,KO,4,법무분야
14,행정법 수임료는 어느 정도인가요?,거래,쉬움,법무,KO,4,법무분야
15,기업법무 사건으로 법률사무소 방문 예약하고 싶어요,탐색,쉬움,법무,KO,6,법무분야
16,부동산법무 초기 대응 도움받고 싶어요,탐색,쉬움,법무,KO,5,법무분야
17,부산 경남에서 금융법무 전문 변호사 찾고 있어요,거래,쉬움,법무,KO,7,"법무분야, 지역"
18,지적재산권 사건으로 법률사무소 방문 예약하고 싶어요,탐색,쉬움,법무,KO,6,법무분야
19,영남권 거주자인데 환경 상담 받고 싶어요,탐색,쉬움,법무,KO,6,"법무분야, 지역"
20,증권법 관련 법률사무소 상담 가능한가요?,탐색,쉬움,법무,KO,5,법무분야
21,가족법 변호사 경력이 궁금해요,탐색,쉬움,법무,KO,4,법무분야
22,헌법 관련 법률사무소 상담 가능한가요?,거래,쉬움,법무,KO,5,법무분야
23,부산 보험법 전문 로펌 평판은 어떤가요?,정보,쉬움,법무,KO,6,"법무분야, 지역"
24,국제법 관련 무료상담 있나요?,탐색,쉬움,법무,KO,4,법무분야
25,부산 수영구에서 소송분쟁해결 전문 변호사 찾고 있어요,탐색,쉬움,법무,KO,7,"법무분야, 지역"
26,상속법 관련 무료상담 있나요?,정보,쉬움,법무,KO,4,법무분야
27,경남 거주자인데 의료헬스케어 상담 받고 싶어요,거래,쉬움,법무,KO,6,"법무분야, 지역"
28,부산 행정법 전문 로펌 평판은 어떤가요?,거래,쉬움,법무,KO,6,"법무분야, 지역"
29,부산 부산지방법원에서 기업법무 전문 변호사 찾고 있어요,탐색,쉬움,법무,KO,7,"법무분야, 지역"
30,건설인프라 초기 대응 도움받고 싶어요,탐색,쉬움,법무,KO,5,법무분야
