prompt,query,sample_id,template_used,extracted_keywords_practice_area,extracted_keywords_region,extracted_keywords_metric,extracted_keywords_intent,extracted_keywords_difficulty,final_parameters_practice_area,final_parameters_metric,final_parameters_region,final_parameters_time_span,final_parameters_source_hint,final_parameters_language_ratio,final_parameters_intent,final_parameters_difficulty,brand_info_name,brand_info_english_name,brand_info_website,brand_info_location,brand_info_phone,brand_info_established,brand_info_experience,brand_info_specialties,brand_info_slogan,brand_info_target_regions
최근3년 기준 부산 부동산법무 분야의 해결율를 알려줘요,부산에서 교통사고 변호사를 찾고 있어요,clean_prompt_0001,최근3년 기준 부산 부동산법무 분야의 해결율를 알려줘,,부산,,정보조회,보통,부동산법무,해결율,부산,최근3년,부산법원,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 의료헬스케어법무 전문 변호사 시설규모 상담받고 싶어요,부산에서 교통사고 변호사를 찾고 있어요 도움주세요,clean_prompt_0002,부산 의료헬스케어법무 전문 변호사 시설규모 상담받고 싶어요,,부산,,거래상담,보통,의료헬스케어법무,시설규모,부산,팬데믹이후,부산지방법원,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
소송및분쟁해결 관련 총비용와 절차를 부산 기준으로 설명해주세요,부산에서 교통사고 변호사를 찾고 있어요 상담받고 싶어요,clean_prompt_0003,소송및분쟁해결 관련 총비용와 절차를 부산 기준으로 설명해주세요,,부산,,거래상담,보통,소송및분쟁해결,총비용,부산,최근3년,법원행정처,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
최근5년 기준 부산 환경법무 변호사 성공보수 평균은?,부산에서 교통사고 변호사를 찾고 있어요 문의드려요,clean_prompt_0004,최근5년 기준 부산 환경법무 변호사 성공보수 평균은?,,부산,,거래상담,보통,환경법무,성공보수,부산,최근5년,법원행정처,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산에서 조세법무 전문 변호사의 총비용와 부산변협 정보를 종합해서 설명해주세요,부산에서 교통사고 변호사를 찾고 있어요 알려주세요,clean_prompt_0005,부산에서 조세법무 전문 변호사의 총비용와 부산변협 정보를 종합해서 설명해주세요,,부산,,정보조회,보통,조세법무,총비용,부산,10년추세,부산변협,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산에서 기업법무 전문 변호사의 브랜드인지도와 법원행정처 정보를 종합해서 설명해주세요,급하게 부산에서 교통사고 변호사를 찾고 있어요,clean_prompt_0006,부산에서 기업법무 전문 변호사의 브랜드인지도와 법원행정처 정보를 종합해서 설명해주세요,,부산,,정보조회,보통,기업법무,브랜드인지도,부산,팬데믹이후,법원행정처,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
법무법인 동래에서 환경법무 사건의 지원인력와 서비스 내용을 상담받고 싶습니다,급하게 부산에서 교통사고 변호사를 찾고 있어요 도움주세요,clean_prompt_0007,법무법인 동래에서 환경법무 사건의 지원인력와 서비스 내용을 상담받고 싶습니다,,부산,,거래상담,보통,환경법무,지원인력,부산,최근5년,부산법원,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 금융법무 전문 변호사 고객만족도 상담받고 싶어요,급하게 부산에서 교통사고 변호사를 찾고 있어요 상담받고 싶어요,clean_prompt_0008,부산 금융법무 전문 변호사 고객만족도 상담받고 싶어요,,부산,,거래상담,보통,금융법무,고객만족도,부산,2025년,부산지방법원,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
건설인프라법무 관련 전문성와 절차를 부산 기준으로 설명해주세요,급하게 부산에서 교통사고 변호사를 찾고 있어요 문의드려요,clean_prompt_0009,건설인프라법무 관련 전문성와 절차를 부산 기준으로 설명해주세요,,부산,,거래상담,보통,건설인프라법무,전문성,부산,최근3년,대법원,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 IT통신법무 분야 파트너수 현황을 최근3년 기준으로 알려줘요,급하게 부산에서 교통사고 변호사를 찾고 있어요 알려주세요,clean_prompt_0010,부산 IT통신법무 분야 파트너수 현황을 최근3년 기준으로 알려줘,,부산,,정보조회,보통,IT통신법무,파트너수,부산,최근3년,법원행정처,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
