id,prompt,intent,difficulty,language,domain,practice_area,country,time_span,source_hint,created_at
iovu_20250705_090451_9841,iOVU 후드집업 L 사이즈 특징이 뭐야?,정보,쉬움,KO,iOVU,밈 컬렉션,호주,최근 3개월,IT 뉴스,2025-07-05T09:04:51.107640
iovu_20250705_090451_4352,iOVU 키링 승화전사 프린팅 방식 설명해줘.,정보,쉬움,KO,iOVU,개발자 커뮤니티,일본,10년 추세(2015-2024년),깃허브 트렌드,2025-07-05T09:04:51.107640
iovu_20250705_090451_9593,스터디 모임 개발자들이 선호하는 iOVU 제품은?,정보,쉬움,KO,iOVU,밈 컬렉션,중국,2025년,밈 사이트,2025-07-05T09:04:51.107640
iovu_20250705_090451_4993,iOVU 아크릴 실크스크린 프린팅 방식 explain.,정보,쉬움,EN,iOVU,오픈소스 굿즈,영국,2024년,밈 사이트,2025-07-05T09:04:51.107640
iovu_20250705_090451_9658,iOVU 밈도 입는 시대 슬로건 의미가 뭐야?,정보,쉬움,KO,iOVU,코딩 유머 아이템,독일,2025년,깃허브 트렌드,2025-07-05T09:04:51.107640
iovu_20250705_090451_2855,iOVU L사이즈 L 사이즈 특징이 뭐야?,정보,쉬움,EN,iOVU,밈 컬렉션,호주,2025년,깃허브 트렌드,2025-07-05T09:04:51.107640
iovu_20250705_090451_5443,iOVU L사이즈 XL 사이즈 특징이 뭐야?,정보,쉬움,KO,iOVU,개발자 밈 굿즈,독일,최근 3개월,개발자 커뮤니티,2025-07-05T09:04:51.107640
iovu_20250705_090451_3723,iOVU IN OUR VIVID UNIVERSE 슬로건 의미가 뭐야?,정보,쉬움,EN,iOVU,개발자 정체성 표현,독일,팬데믹(2020-2022년),개발자 커뮤니티,2025-07-05T09:04:51.107640
iovu_20250705_090451_7080,iOVU 그레이 L 사이즈 특징이 뭐야?,정보,쉬움,KO,iOVU,해커톤 굿즈,캐나다,최근 3개월,깃허브 트렌드,2025-07-05T09:04:51.107640
iovu_20250705_090451_2743,iOVU 파우치 M 사이즈 특징이 뭐야?,정보,쉬움,KO,iOVU,너디 패션,독일,최근 3개월,밈 사이트,2025-07-05T09:04:51.107640
iovu_20250705_090451_2183,iOVU XL사이즈 자수 프린팅 방식 설명해줘.,정보,쉬움,KO,iOVU,너디 패션,일본,2024년,밈 사이트,2025-07-05T09:04:51.107640
iovu_20250705_090451_6810,iOVU 캔버스 L 사이즈 특징이 뭐야?,정보,쉬움,EN,iOVU,개발자 선물,호주,팬데믹(2020-2022년),밈 사이트,2025-07-05T09:04:51.107640
