id,prompt,intent,difficulty,language,domain,practice_area,country,time_span,source_hint,created_at
iovu_20250705_090451_6904,iOVU Debug & Chill 슬로건 의미가 뭐야?,정보,쉬움,KO,iOVU,프로그래머 라이프스타일,프랑스,팬데믹(2020-2022년),밈 사이트,2025-07-05T09:04:51.102689
iovu_20250705_090451_8512,iOVU 개발자를 위한 귀여운 반란 슬로건 의미가 뭐야?,정보,쉬움,KO,iOVU,스타트업 문화,프랑스,2025년,IT 뉴스,2025-07-05T09:04:51.102689
iovu_20250705_090451_2177,iOVU 개발자를 위한 귀여운 반란 슬로건 의미가 뭐야?,정보,쉬움,EN,iOVU,개발자 정체성 표현,프랑스,팬데믹(2020-2022년),IT 뉴스,2025-07-05T09:04:51.102689
iovu_20250705_090451_5609,iOVU Code with Love 슬로건 의미가 뭐야?,정보,쉬움,EN,iOVU,깃허브 문화,중국,2019-2023년,IT 뉴스,2025-07-05T09:04:51.102689
iovu_20250705_090451_1106,iOVU 개발자를 위한 귀여운 반란 슬로건 의미가 뭐야?,정보,쉬움,KO,iOVU,개발자 밈 굿즈,호주,2025년,개발자 커뮤니티,2025-07-05T09:04:51.102689
iovu_20250705_090451_2210,해커톤 참가 개발자들이 선호하는 iOVU 제품은?,정보,쉬움,KO,iOVU,개발자 밈 굿즈,일본,최근 3개월,깃허브 트렌드,2025-07-05T09:04:51.102689
iovu_20250705_090451_4478,iOVU M사이즈 L 사이즈 특징이 뭐야?,정보,쉬움,KO,iOVU,해커톤 굿즈,호주,2025년,깃허브 트렌드,2025-07-05T09:04:51.102689
iovu_20250705_090451_2788,iOVU 힐링하는 코더 슬로건 의미가 뭐야?,정보,쉬움,KO,iOVU,코딩 유머 아이템,영국,2019-2023년,밈 사이트,2025-07-05T09:04:51.102689
iovu_20250705_090451_2769,푸시 iOVU 굿즈 종류 뭐가 있어?,정보,쉬움,KO,iOVU,너디 패션,일본,2019-2023년,개발자 커뮤니티,2025-07-05T09:04:51.102689
iovu_20250705_090451_4716,iOVU 폴리에스터 다중색 프린팅 프린팅 방식 explain.,정보,쉬움,EN,iOVU,너디 패션,미국,최근 3개월,개발자 커뮤니티,2025-07-05T09:04:51.102689
iovu_20250705_090451_8633,Hello World iOVU 굿즈 종류 뭐가 있어?,정보,쉬움,KO,iOVU,개발자 밈 굿즈,독일,최근 3개월,IT 뉴스,2025-07-05T09:04:51.102689
iovu_20250705_090451_9760,iOVU 코튼 L 사이즈 특징이 뭐야?,정보,쉬움,KO,iOVU,오픈소스 굿즈,프랑스,최근 5개월,개발자 커뮤니티,2025-07-05T09:04:51.102689
iovu_20250705_090451_1268,iOVU 머그컵 실크스크린 제작 시 품질 관리 방법은?,정보,보통,KO,iOVU,개발자 밈 굿즈,캐나다,2019-2023년,깃허브 트렌드,2025-07-05T09:04:51.102689
iovu_20250705_090451_8792,iOVU 디버깅 컨셉과 다른 브랜드의 차이점은?,정보,보통,EN,iOVU,힐링 개발템,중국,팬데믹(2020-2022년),IT 뉴스,2025-07-05T09:04:51.102689
iovu_20250705_090451_1978,iOVU Code with Love 메시지가 IT 업계 종사자에게 주는 의미는?,정보,보통,KO,iOVU,깃허브 문화,호주,10년 추세(2015-2024년),밈 사이트,2025-07-05T09:04:51.102689
iovu_20250705_090451_5144,AI/ML 엔지니어 개발자들의 iOVU M사이즈 선호 스타일 compare.,정보,보통,EN,iOVU,오픈소스 굿즈,캐나다,10년 추세(2015-2024년),밈 사이트,2025-07-05T09:04:51.102689
iovu_20250705_090451_7893,IT 업계 개발자들의 iOVU 스마트톡 선호 스타일 compare.,정보,보통,EN,iOVU,개발자 커뮤니티,독일,최근 3개월,IT 뉴스,2025-07-05T09:04:51.102689
iovu_20250705_090451_2334,자수 프린팅의 iOVU 제품 품질 차이 설명해줘.,정보,보통,KO,iOVU,개발자 정체성 표현,영국,최근 5개월,개발자 커뮤니티,2025-07-05T09:04:51.102689
