번호,질문,의도,난이도,도메인,언어,어절수,키워드_포함
1,조세법무 변호사 경력이 궁금해요,탐색,쉬움,법무,KO,4,법무분야
2,부산지방법원 거주자인데 소송분쟁해결 상담 받고 싶어요,거래,쉬움,법무,KO,6,"법무분야, 지역"
3,부산 서면에서 형사법무 전문 변호사 찾고 있어요,탐색,쉬움,법무,KO,7,"법무분야, 지역"
4,부산 영남권에서 소송분쟁해결 전문 변호사 찾고 있어요,거래,쉬움,법무,KO,7,"법무분야, 지역"
5,계약법무 관련 무료상담 있나요?,거래,쉬움,법무,KO,4,법무분야
6,계약법무 사건으로 법률사무소 방문 예약하고 싶어요,정보,쉬움,법무,KO,6,법무분야
7,조세법무 관련 무료상담 있나요?,거래,쉬움,법무,KO,4,법무분야
8,조세법무 초기 대응 도움받고 싶어요,정보,쉬움,법무,KO,5,법무분야
9,행정법 변호사 경력이 궁금해요,정보,쉬움,법무,KO,4,법무분야
10,부산지방법원 증권법 소송 도움받을 수 있나요?,거래,쉬움,법무,KO,6,"법무분야, 지역"
11,계약법무 관련 법률사무소 상담 가능한가요?,거래,쉬움,법무,KO,5,법무분야
12,건설인프라 관련 법률사무소 상담 가능한가요?,거래,쉬움,법무,KO,5,법무분야
13,소송분쟁해결 관련 무료상담 있나요?,정보,쉬움,법무,KO,4,법무분야
14,부산 지적재산권 전문 로펌 평판은 어떤가요?,정보,쉬움,법무,KO,6,"법무분야, 지역"
15,IT통신 사건으로 법률사무소 방문 예약하고 싶어요,탐색,쉬움,법무,KO,6,법무분야
16,부산 연제구에서 노동법무 전문 변호사 찾고 있어요,정보,쉬움,법무,KO,7,"법무분야, 지역"
17,개인정보 수임료는 어느 정도인가요?,거래,쉬움,법무,KO,4,법무분야
18,개인정보 초기 대응 도움받고 싶어요,거래,쉬움,법무,KO,5,법무분야
19,부산지방법원 건설인프라 소송 도움받을 수 있나요?,거래,쉬움,법무,KO,6,"법무분야, 지역"
20,노동법무 사건으로 법률사무소 방문 예약하고 싶어요,정보,쉬움,법무,KO,6,법무분야
21,부산 개인정보 전문 로펌 평판은 어떤가요?,정보,쉬움,법무,KO,6,"법무분야, 지역"
22,보험법 관련 무료상담 있나요?,정보,쉬움,법무,KO,4,법무분야
