question,intent,difficulty,domain,lang,original_index,practice_area,region,firm_name,eval_pass,eval_score,eval_reason,eval_timestamp,eval_raw
부산 금융법무 분야 성공보수 현황을 2024년 기준으로 알려줘요,정보조회,보통,동래,KO,0,금융법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:12.364035,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
최근3년 기준 부산 노동법무 변호사 전문인력 평균은?,거래상담,보통,동래,KO,1,노동법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:13.578111,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
노동법무 사건의 브랜드인지도 기준과 부산 지역 특성을 고려한 변호사 선택 가이드를 제공해주세요,거래상담,보통,동래,KO,2,노동법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:14.806309,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
형사법무 사건의 시장점유율 기준과 부산 지역 특성을 고려한 변호사 선택 가이드를 제공해주세요,거래상담,보통,동래,KO,3,형사법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:16.050825,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
팬데믹이후 기준 부산 개인정보보호 분야의 법적정확성를 알려줘요,정보조회,보통,동래,KO,4,개인정보보호,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:17.358713,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
부산 의료헬스케어법무 분야 지원인력 현황을 2025년 기준으로 알려줘요,정보조회,보통,동래,KO,5,의료헬스케어법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:18.598544,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
최근3년 기준 부산 부동산법무 변호사 총비용 평균은?,거래상담,보통,동래,KO,6,부동산법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:19.836268,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
2019-2023년 기준 부산 부동산법무 변호사 파트너수 평균은?,거래상담,보통,동래,KO,7,부동산법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:21.139840,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
노동법무 사건의 지원인력 기준과 부산 지역 특성을 고려한 변호사 선택 가이드를 제공해주세요,거래상담,보통,동래,KO,8,노동법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:22.469208,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
의료헬스케어법무 관련 전문인력 통계를 팬데믹이후 기간으로 정리해주세요,정보조회,보통,동래,KO,9,의료헬스케어법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:23.700356,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
조세법무 관련 전문인력 통계를 2019-2023년 기간으로 정리해주세요,정보조회,보통,동래,KO,10,조세법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:24.945366,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
법무법인 동래에서 환경법무 사건의 지원인력와 서비스 내용을 상담받고 싶습니다,거래상담,보통,동래,KO,11,환경법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:26.230098,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
기업법무 관련 지원인력와 절차를 부산 기준으로 설명해주세요,거래상담,보통,동래,KO,12,기업법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:27.469615,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
법무법인 동래에서 소송및분쟁해결 사건의 전문성와 서비스 내용을 상담받고 싶습니다,거래상담,보통,동래,KO,13,소송및분쟁해결,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:28.707727,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
부산에서 부동산법무 전문 변호사의 브랜드인지도와 부산법원 정보를 종합해서 설명해주세요,정보조회,보통,동래,KO,14,부동산법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:30.242360,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
소송및분쟁해결 관련 수임료 통계를 최근3년 기간으로 정리해주세요,정보조회,보통,동래,KO,15,소송및분쟁해결,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:31.520620,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
팬데믹이후 기준 부산 기업법무 변호사 성공보수 평균은?,거래상담,보통,동래,KO,16,기업법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:32.771844,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
