id,prompt,intent,difficulty,language,domain,practice_area,country,time_span,source_hint,created_at
iovu_20250705_090451_8456,변수명 고민 iOVU 굿즈 종류 뭐가 있어?,정보,쉬움,EN,iOVU,스타트업 문화,캐나다,2019-2023년,밈 사이트,2025-07-05T09:04:51.099024
iovu_20250705_090451_3847,iOVU 폴리에스터 승화전사 프린팅 방식 설명해줘.,정보,쉬움,KO,iOVU,밈 컬렉션,프랑스,10년 추세(2015-2024년),깃허브 트렌드,2025-07-05T09:04:51.099024
iovu_20250705_090451_7029,iOVU 힐링하는 코더 슬로건 의미가 뭐야?,정보,쉬움,KO,iOVU,코딩 유머 아이템,한국,최근 3개월,깃허브 트렌드,2025-07-05T09:04:51.099024
iovu_20250705_090451_4899,iOVU 티셔츠 M 사이즈 특징이 뭐야?,정보,쉬움,KO,iOVU,개발자 선물,일본,팬데믹(2020-2022년),깃허브 트렌드,2025-07-05T09:04:51.099024
iovu_20250705_090451_2964,iOVU Code with Love 슬로건 의미가 뭐야?,정보,쉬움,EN,iOVU,오픈소스 굿즈,일본,2024년,IT 뉴스,2025-07-05T09:04:51.099024
iovu_20250705_090451_2751,카페인 iOVU 굿즈 종류 뭐가 있어?,정보,쉬움,KO,iOVU,밈 컬렉션,독일,최근 5개월,IT 뉴스,2025-07-05T09:04:51.099024
iovu_20250705_090451_1195,iOVU Dev + Cute = iOVU 슬로건 의미가 뭐야?,정보,쉬움,KO,iOVU,코딩 유머 아이템,미국,2024년,깃허브 트렌드,2025-07-05T09:04:51.099024
iovu_20250705_090451_8979,iOVU 후드티 M 사이즈 특징이 뭐야?,정보,쉬움,KO,iOVU,개발자 밈 굿즈,프랑스,팬데믹(2020-2022년),밈 사이트,2025-07-05T09:04:51.099024
iovu_20250705_090451_5902,iOVU 폰케이스 실크스크린 프린팅 방식 설명해줘.,정보,쉬움,KO,iOVU,개발자 커뮤니티,캐나다,최근 5개월,개발자 커뮤니티,2025-07-05T09:04:51.099024
iovu_20250705_090451_1538,iOVU M사이즈 L 사이즈 특징이 뭐야?,정보,쉬움,KO,iOVU,너디 패션,영국,최근 3개월,개발자 커뮤니티,2025-07-05T09:04:51.099024
