id,prompt,intent,difficulty,language,domain,practice_area,country,time_span,source_hint,created_at
iovu_20250704_174912_8326,iOVU Dev + Cute = iOVU 슬로건 의미가 뭐야?,정보,쉬움,KO,iOVU,코딩 유머 아이템,중국,2025년,개발자 커뮤니티,2025-07-04T17:49:12.616741
iovu_20250704_174912_3427,iOVU XL사이즈 XL 사이즈 특징이 뭐야?,정보,쉬움,KO,iOVU,깃허브 문화,캐나다,팬데믹(2020-2022년),밈 사이트,2025-07-04T17:49:12.616741
iovu_20250704_174912_8743,동물×코딩 iOVU 굿즈 종류 뭐가 있어?,정보,쉬움,KO,iOVU,프로그래머 라이프스타일,호주,2025년,개발자 커뮤니티,2025-07-04T17:49:12.617737
iovu_20250704_174912_3896,동물×코딩 iOVU 굿즈 종류 뭐가 있어?,정보,쉬움,KO,iOVU,오픈소스 굿즈,한국,2024년,IT 뉴스,2025-07-04T17:49:12.617737
iovu_20250704_174912_8961,GitHub 스타 개발자들이 선호하는 iOVU 제품은?,정보,쉬움,KO,iOVU,너디 패션,미국,2025년,개발자 커뮤니티,2025-07-04T17:49:12.617737
iovu_20250704_174912_4559,iOVU Meme Lover 슬로건 의미가 뭐야?,정보,쉬움,EN,iOVU,프로그래머 라이프스타일,독일,2025년,개발자 커뮤니티,2025-07-04T17:49:12.617737
iovu_20250704_174912_5109,Slack 워크스페이스 개발자들의 iOVU M사이즈 선호 스타일 compare.,정보,보통,EN,iOVU,깃허브 문화,호주,2025년,밈 사이트,2025-07-04T17:49:12.617737
iovu_20250704_174912_7144,iOVU 밈도 입는 시대 메시지가 개발자에게 주는 의미는?,정보,보통,EN,iOVU,코딩 유머 아이템,일본,2019-2023년,밈 사이트,2025-07-04T17:49:12.617737
iovu_20250704_174912_6498,열전사 프린팅의 iOVU 제품 품질 차이 설명해줘.,정보,보통,KO,iOVU,IT 굿즈,호주,2019-2023년,깃허브 트렌드,2025-07-04T17:49:12.617737
iovu_20250704_174912_8865,iOVU 아크릴 UV 프린팅 제작 시 품질 관리 방법은?,정보,보통,KO,iOVU,해커톤 굿즈,영국,2025년,깃허브 트렌드,2025-07-04T17:49:12.617737
iovu_20250704_174912_5945,iOVU 밈도 입는 시대 메시지가 개발자에게 주는 의미는?,정보,보통,KO,iOVU,개발자 선물,캐나다,10년 추세(2015-2024년),밈 사이트,2025-07-04T17:49:12.617737
iovu_20250704_174912_5647,iOVU XL사이즈 승화전사 제작 시 품질 관리 방법은?,정보,보통,EN,iOVU,코딩 유머 아이템,캐나다,최근 3개월,IT 뉴스,2025-07-04T17:49:12.617737
