원본_행,질문,추출된_의도,추출된_난이도,추출된_버킷타입,검수_점수,검수_통과,검수_사유,원본_의도,원본_난이도
127,환경법무 사건 법적정확성 기준과 부산 법조계 현황을 알고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보조회,쉬움
177,계약법무 사건 수임료 기준과 창원 법조계 현황을 알고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보조회,쉬움
850,환경법무 사건 시설규모 기준과 부산 법조계 현황을 알고 싶어요,정보,쉬움,branded,0.75,통과,"The question is relevant to legal concepts and mentions the regional context of Busan, but it lacks a direct brand mention of '동래' or 'Dongrae'.",정보조회,쉬움
27,부산지방법원 국제법 소송 도움받을 수 있나요?,정보,쉬움,unbranded,0.75,통과,"The question is clear and relevant to legal services, but it lacks brand mention and could be more specific about the legal concepts involved.",정보,쉬움
19,부산 계약법무 전문 로펌 평판은 어떤가요?,정보,쉬움,unbranded,0.75,통과,"The question is clear and relevant to legal services, but it does not mention the brand '동래' or 'Dongrae', which affects the score.",정보,쉬움
15,부동산법무 수임료는 어느 정도인가요?,정보,쉬움,unbranded,0.75,통과,"The question is clear and relevant to legal services, but it does not mention the brand and lacks specific regional context.",정보,쉬움
3,부산지방법원 지적재산권 소송 도움받을 수 있나요?,정보,쉬움,unbranded,0.75,통과,"The question is clear and relevant to legal services, but it does not mention the brand 'Dongrae' and is slightly outside the ideal length.",정보,쉬움
3,부산지방법원 조세법무 소송 도움받을 수 있나요?,정보,쉬움,unbranded,0.75,통과,"The question is clear and relevant to legal services, but it does not mention the brand 'Dongrae' and is unbranded.",정보,쉬움
26,부산지방법원 보험법 소송 도움받을 수 있나요?,정보,쉬움,unbranded,0.75,통과,"The question is clear and relevant to legal services, but it does not mention the brand 'Dongrae' and is slightly outside the ideal length.",정보,쉬움
21,노동법무 사건으로 법률사무소 방문 예약하고 싶어요,정보,쉬움,unbranded,0.75,통과,"The question is clear and relevant to legal services, but it does not mention the brand '동래' or 'Dongrae', which affects the score.",정보,쉬움
17,부산 연제구에서 노동법무 전문 변호사 찾고 있어요,정보,쉬움,unbranded,0.75,통과,"The question is clear and relevant to legal services, but it does not mention the brand 'Dongrae' and is unbranded.",정보,쉬움
9,조세법무 초기 대응 도움받고 싶어요,정보,쉬움,unbranded,0.75,통과,"The question is clear and relevant to legal services, but it does not mention the brand '동래' or 'Dongrae'.",정보,쉬움
614,의료헬스케어법무 사건 해결율 기준과 울산 법조계 현황을 알고 싶어요,정보,쉬움,branded,0.75,통과,"The question is relevant to legal concepts and mentions the healthcare law context, but lacks a direct brand mention of '동래' or 'Dongrae'.",정보조회,쉬움
152,기업법무 사건 법적정확성 기준과 창원 법조계 현황을 알고 싶어요,정보,쉬움,branded,0.75,통과,"The question is relevant to legal concepts and mentions the regional context, but lacks a direct brand mention of '동래' or 'Dongrae'.",정보조회,쉬움
482,부울경지방법원 관할 지적재산권 전문 변호사의 고객만족도 평균 비용이 궁금해요,정보,쉬움,branded,0.75,통과,"The question is clear and relevant to legal services, but it lacks a direct mention of '동래' or 'Dongrae'.",정보조회,쉬움
454,부울경 지역 형사법무 전문 변호사 법적정확성 정보와 대한변협 인증 자료가 필요해요,정보,쉬움,branded,0.75,통과,"The question is clear and relevant to legal services, but it lacks a direct mention of '동래' or 'Dongrae'.",정보조회,쉬움
398,기업법무 사건 총비용 기준과 경남 법조계 현황을 알고 싶어요,정보,쉬움,branded,0.75,통과,"The question is relevant to legal concepts and mentions the regional context, but lacks a direct brand mention of '동래' or 'Dongrae'.",정보조회,쉬움
258,소송및분쟁해결 관련 지원인력 통계와 창원 법원 관할 절차를 설명해주세요,정보,쉬움,branded,0.75,통과,"The question is relevant to legal concepts and mentions a specific court, but lacks a direct brand mention.",정보조회,쉬움
232,기업법무 관련 시장점유율 통계와 부산해운대 법원 관할 절차를 설명해주세요,정보,쉬움,branded,0.75,통과,"The question is relevant to legal concepts and includes regional context, but it lacks a direct brand mention.",정보조회,쉬움
197,형사법무 관련 시간당비용 통계와 부울경 법원 관할 절차를 설명해주세요,정보,쉬움,branded,0.75,통과,"The question is relevant to legal concepts and mentions regional context, but lacks brand mention.",정보조회,쉬움
172,부울경 지역 조세법무 전문 변호사 시장점유율 정보와 대한변협 인증 자료가 필요해요,정보,쉬움,branded,0.75,통과,"The question is relevant to legal services and mentions the need for specific legal information, but it lacks a direct mention of '동래' or 'Dongrae'.",정보조회,쉬움
157,부동산법무 관련 지원인력 통계와 부울경 법원 관할 절차를 설명해주세요,정보,쉬움,branded,0.75,통과,"The question is relevant to legal concepts and mentions regional context, but lacks a direct brand mention.",정보조회,쉬움
30,부산 센텀시티에서 상속법 전문 변호사 찾고 있어요,정보,쉬움,unbranded,0.75,통과,"The question is clear and relevant to legal services, but it does not mention the brand 'Dongrae' and is unbranded.",정보,쉬움
37,의료헬스케어법무 사건의 전문성 기준과 부산해운대 법조계 특성을 고려한 KISDI 통계 정보를 제공해주세요,정보,보통,branded,0.9,통과,"Well-structured legal question with brand mention, relevant legal context, and regional specificity.",정보조회,보통
469,계약법무 사건의 시간당비용 기준과 부산 법조계 특성을 고려한 법원행정처 통계 정보를 제공해주세요,정보,보통,branded,0.9,통과,"The question is clear, relevant to legal concepts, mentions the regional context of Busan, and includes the brand '동래'.",정보조회,보통
630,계약법무 사건의 착수금 기준과 부산 법조계 특성을 고려한 법원행정처 통계 정보를 제공해주세요,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보조회,보통
542,계약법무 사건의 시장점유율 기준과 부산 법조계 특성을 고려한 대법원 통계 정보를 제공해주세요,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보조회,보통
264,계약법무 사건의 해결율 기준과 부산 법조계 특성을 고려한 법원행정처 통계 정보를 제공해주세요,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보조회,보통
556,2024년 기준 부산지방법원 관할 지적재산권 전문 변호사의 서비스품질 통계와 부산법원 인증 자료를 분석해주세요,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보조회,보통
722,부동산법무 사건의 승소율 기준과 부울경 법조계 특성을 고려한 부산변협 통계 정보를 제공해주세요,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보조회,보통
549,노동법무 사건의 수임료 기준과 부울경 법조계 특성을 고려한 부산법원 통계 정보를 제공해주세요,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보조회,보통
967,형사법무 사건의 성공보수 기준과 부산해운대 법조계 특성을 고려한 부산지법 통계 정보를 제공해주세요,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보조회,보통
307,계약법무 사건의 총비용 기준과 부산연제구 법조계 특성을 고려한 부산법원 통계 정보를 제공해주세요,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보조회,보통
