prompt,query,sample_id,template_used,extracted_keywords_practice_area,extracted_keywords_region,extracted_keywords_metric,extracted_keywords_intent,extracted_keywords_difficulty,final_parameters_practice_area,final_parameters_metric,final_parameters_region,final_parameters_time_span,final_parameters_source_hint,final_parameters_language_ratio,final_parameters_intent,final_parameters_difficulty,brand_info_name,brand_info_english_name,brand_info_website,brand_info_location,brand_info_phone,brand_info_established,brand_info_experience,brand_info_specialties,brand_info_slogan,brand_info_target_regions
부산 부동산법무 분야 법무법인의 성공보수 현황과 판례 검토를 통한 부산지법 데이터 분석이 필요합니다,부산에서 교통사고 변호사를 찾고 있어요,clean_prompt_0001,부산 부동산법무 분야 법무법인의 성공보수 현황과 판례 검토를 통한 부산지법 데이터 분석이 필요합니다,,부산,,정보조회,보통,부동산법무,성공보수,부산,10년추세,부산지법,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
조세법무 사건의 시장점유율 기준과 부산 지역 법조계 특성을 고려한 변호사 선택 가이드와 상담 절차를 제공해주세요,부산에서 교통사고 변호사를 찾고 있어요 도움주세요,clean_prompt_0002,조세법무 사건의 시장점유율 기준과 부산 지역 법조계 특성을 고려한 변호사 선택 가이드와 상담 절차를 제공해주세요,,부산,,거래상담,보통,조세법무,시장점유율,부산,2025년,대한변협,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
조세법무 사건의 시장점유율 기준과 부산 지역 법조계 특성을 고려한 변호사 선택 가이드와 상담 절차를 제공해주세요,부산에서 교통사고 변호사를 찾고 있어요 상담받고 싶어요,clean_prompt_0003,조세법무 사건의 시장점유율 기준과 부산 지역 법조계 특성을 고려한 변호사 선택 가이드와 상담 절차를 제공해주세요,,부산,,거래상담,보통,조세법무,시장점유율,부산,최근3년,법원행정처,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
계약법무 관련 승소율와 절차를 부산 법조계 기준으로 설명하고 합리적 수임료 상담도 받고 싶어요,부산에서 교통사고 변호사를 찾고 있어요 문의드려요,clean_prompt_0004,계약법무 관련 승소율와 절차를 부산 법조계 기준으로 설명하고 합리적 수임료 상담도 받고 싶어요,,부산,,거래상담,보통,계약법무,승소율,부산,2024년,대법원,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 건설인프라법무 분야 승소율 현황을 최근5년 기준 법무부통계 데이터로 상세 분석해주세요,부산에서 교통사고 변호사를 찾고 있어요 알려주세요,clean_prompt_0005,부산 건설인프라법무 분야 승소율 현황을 최근5년 기준 법무부통계 데이터로 상세 분석해주세요,,부산,,정보조회,보통,건설인프라법무,승소율,부산,최근5년,법무부통계,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 노동법무 분야 전문인력 현황을 2025년 기준 법률신문 데이터로 상세 분석해주세요,급하게 부산에서 교통사고 변호사를 찾고 있어요,clean_prompt_0006,부산 노동법무 분야 전문인력 현황을 2025년 기준 법률신문 데이터로 상세 분석해주세요,,부산,,정보조회,보통,노동법무,전문인력,부산,2025년,법률신문,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
최근3년 기준 부산 부동산법무 변호사 총비용 평균과 법무법인 동래의 원스톱 서비스를 비교해주세요,급하게 부산에서 교통사고 변호사를 찾고 있어요 도움주세요,clean_prompt_0007,최근3년 기준 부산 부동산법무 변호사 총비용 평균과 법무법인 동래의 원스톱 서비스를 비교해주세요,,부산,,거래상담,보통,부동산법무,총비용,부산,최근3년,부산지방법원,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
지적재산권 사건의 변호사인원 기준과 부산 지역 법조계 특성을 고려한 변호사 선택 가이드와 상담 절차를 제공해주세요,급하게 부산에서 교통사고 변호사를 찾고 있어요 상담받고 싶어요,clean_prompt_0008,지적재산권 사건의 변호사인원 기준과 부산 지역 법조계 특성을 고려한 변호사 선택 가이드와 상담 절차를 제공해주세요,,부산,,거래상담,보통,지적재산권,변호사인원,부산,최근5년,대법원,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
조세법무 사건의 시장점유율 기준과 부산 지역 법조계 특성을 고려한 변호사 선택 가이드와 상담 절차를 제공해주세요,급하게 부산에서 교통사고 변호사를 찾고 있어요 문의드려요,clean_prompt_0009,조세법무 사건의 시장점유율 기준과 부산 지역 법조계 특성을 고려한 변호사 선택 가이드와 상담 절차를 제공해주세요,,부산,,거래상담,보통,조세법무,시장점유율,부산,2024년,부산변협,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 계약법무 분야 성공보수 현황을 2025년 기준 KISDI 데이터로 상세 분석해주세요,급하게 부산에서 교통사고 변호사를 찾고 있어요 알려주세요,clean_prompt_0010,부산 계약법무 분야 성공보수 현황을 2025년 기준 KISDI 데이터로 상세 분석해주세요,,부산,,정보조회,보통,계약법무,성공보수,부산,2025년,KISDI,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
