번호,질문,의도,난이도,도메인,언어,어절수,키워드_포함
1,부산 경남에서 가족법 전문 변호사 찾고 있어요,정보,쉬움,법무,KO,7,"법무분야, 지역"
2,부산지방법원 지적재산권 소송 도움받을 수 있나요?,정보,쉬움,법무,KO,6,"법무분야, 지역"
3,부산 부산에서 증권법 전문 변호사 찾고 있어요,거래,쉬움,법무,KO,7,"법무분야, 지역"
4,보험법 초기 대응 도움받고 싶어요,탐색,쉬움,법무,KO,5,법무분야
5,부동산법무 관련 무료상담 있나요?,정보,쉬움,법무,KO,4,법무분야
6,건설인프라 관련 무료상담 있나요?,탐색,쉬움,법무,KO,4,법무분야
7,소송분쟁해결 변호사 경력이 궁금해요,정보,쉬움,법무,KO,4,법무분야
8,부산 의료헬스케어 전문 로펌 평판은 어떤가요?,정보,쉬움,법무,KO,6,"법무분야, 지역"
9,노동법무 수임료는 어느 정도인가요?,거래,쉬움,법무,KO,4,법무분야
10,부산 IT통신 전문 로펌 평판은 어떤가요?,탐색,쉬움,법무,KO,6,"법무분야, 지역"
11,상속법 관련 법률사무소 상담 가능한가요?,거래,쉬움,법무,KO,5,법무분야
12,소송분쟁해결 사건으로 법률사무소 방문 예약하고 싶어요,정보,쉬움,법무,KO,6,법무분야
13,부산 양산시에서 노동법무 전문 변호사 찾고 있어요,정보,쉬움,법무,KO,7,"법무분야, 지역"
14,부동산법무 수임료는 어느 정도인가요?,정보,쉬움,법무,KO,4,법무분야
15,영남권 거주자인데 회생법 상담 받고 싶어요,정보,쉬움,법무,KO,6,"법무분야, 지역"
16,헌법 수임료는 어느 정도인가요?,정보,쉬움,법무,KO,4,법무분야
17,형사법무 사건으로 법률사무소 방문 예약하고 싶어요,탐색,쉬움,법무,KO,6,법무분야
18,부산 계약법무 전문 로펌 평판은 어떤가요?,정보,쉬움,법무,KO,6,"법무분야, 지역"
19,형사법무 관련 무료상담 있나요?,거래,쉬움,법무,KO,4,법무분야
20,양산시 거주자인데 개인정보 상담 받고 싶어요,거래,쉬움,법무,KO,6,"법무분야, 지역"
21,소송분쟁해결 수임료는 어느 정도인가요?,탐색,쉬움,법무,KO,4,법무분야
22,부산 지적재산권 전문 로펌 평판은 어떤가요?,탐색,쉬움,법무,KO,6,"법무분야, 지역"
23,지적재산권 관련 법률사무소 상담 가능한가요?,탐색,쉬움,법무,KO,5,법무분야
24,IT통신 변호사 경력이 궁금해요,정보,쉬움,법무,KO,4,법무분야
25,금융법무 관련 무료상담 있나요?,정보,쉬움,법무,KO,4,법무분야
26,부산지방법원 국제법 소송 도움받을 수 있나요?,정보,쉬움,법무,KO,6,"법무분야, 지역"
27,환경 사건으로 법률사무소 방문 예약하고 싶어요,탐색,쉬움,법무,KO,6,법무분야
28,상속법 사건으로 법률사무소 방문 예약하고 싶어요,거래,쉬움,법무,KO,6,법무분야
29,부산 센텀시티에서 상속법 전문 변호사 찾고 있어요,정보,쉬움,법무,KO,7,"법무분야, 지역"
30,부산지방법원 형사법무 소송 도움받을 수 있나요?,거래,쉬움,법무,KO,6,"법무분야, 지역"
31,부산 계약법무 분야에서 전문성 우수한 로펌들 순위는?,거래,보통,법무,KO,7,"법무분야, 지역"
32,개인정보 사건 처리 시 부산시 법무법인들의 접근 방식 비교,탐색,보통,법무,KO,9,"법무분야, 지역"
33,부산지방법원 국제법 소송 경험이 풍부한 법무법인 찾아주세요,정보,보통,법무,KO,7,"법무분야, 지역"
34,법조단지 지적재산권 전문 로펌들의 서비스 특징과 장단점 비교,정보,보통,법무,KO,8,"법무분야, 지역"
35,부산지방법원 기반 건설인프라 전문 변호사들의 실적 비교해주세요,탐색,보통,법무,KO,7,"법무분야, 지역"
36,부산 상속법 분야에서 혁신성 우수한 로펌들 순위는?,탐색,보통,법무,KO,7,"법무분야, 지역"
37,조세법무 분야 연제구 지역 전문 법무법인을 비교해주세요,탐색,보통,법무,KO,7,"법무분야, 지역, USP"
38,지적재산권 관련 동래구 법률사무소들의 혁신성 차이점은?,탐색,보통,법무,KO,6,"법무분야, 지역"
